lat,lng,bank,tail3,trans,note,pic,district,ward,street,province
10.378522857142858,105.42580142857143,MBB,212,29,,,Thành phố Long Xuyên,,Hà Hoàng Hổ,An Giang
10.436446,105.396218,MSB,800,16,,,Huyện Châu Thành,,Lê Lợi,An Giang
10.380461666666667,105.43429999999998,VCB,477,18,,,Thành phố Long Xuyên,,Bùi Văn Danh,An Giang
10.61578,105.210825,VTB,S01,10,,,Huyện Châu Phú,,Quốc lộ 91,An Giang
10.371540909090909,105.43644818181818,BIDV,749,41,K tìm thấy,nhu.nguyen15,Thành phố Long Xuyên,,Lý Thái Tổ,An Giang
10.701885,105.12913,VCB,105,18,,,Thành phố Châu Đốc,,Phan Đình Phùng,An Giang
10.677722857142856,105.07165142857143,OCB,462,17,,,Thành phố Châu Đốc,,Phạm Văn Bạch,An Giang
10.379087142857143,105.43952,MBB,478,26,,,Thành phố Long Xuyên,,Nguyễn Thị Minh Khai,An Giang
10.372552727272726,105.43739363636362,TCB,999,36,K tìm thấy,nhu.nguyen15,Thành phố Long Xuyên,,Lý Thái Tổ,An Giang
10.375490588235294,105.4384932352941,TCB,991,135,Không tìm thấy cửa hàng,vinh.nguyen18,Thành phố Long Xuyên,,Hãi Thượng Lãn Ông,An Giang
10.3786725,105.42664625,OCB,99,20,,,Thành phố Long Xuyên,,Hà Hoàng Hổ,An Giang
10.40728043478261,105.41943304347826,TCB,260,58,Khách hàng sử dụng 1 loại quen r k muốn sử dụng thêm,nhu.nguyen15,Thành phố Long Xuyên,,Trần Hưng Đạo,An Giang
10.370973777777778,105.45193777777777,TPB,1,107,,,Thành phố Long Xuyên,,Triệu Quang Phục,An Giang
10.371573157894737,105.43655210526315,ACB,486,74,K tìm thấy,nhu.nguyen15,Thành phố Long Xuyên,,Lý Thái Tổ,An Giang
10.382672,105.443924,MBB,898,40,Chưa tìm thấy cửa hàng,vinh.nguyen18,Thành phố Long Xuyên,,Bạch Đằng,An Giang
10.380104000000001,105.44071,TCB,688,21,,,Thành phố Long Xuyên,,Nguyễn Thị Minh Khai,An Giang
10.593516666666666,105.35363,BIDV,AM8,16,,,Huyện Phú Tân,,Tôn Đức Thắng,An Giang
10.371366666666667,105.43638666666666,TCB,602,26,,,Thành phố Long Xuyên,,Lý Thái Tổ,An Giang
10.422545,105.0033,MSB,201,22,,,Huyện Tri Tôn,,Đường tỉnh 941,An Giang
10.376681666666666,105.4363711111111,AGRIBANK,45,55,K tìm thấy,nhu.nguyen15,Thành phố Long Xuyên,,Võ Thị Sáu,An Giang
10.373516153846154,105.43301076923078,VCB,268,33,K tìm thấy,nhu.nguyen15,Thành phố Long Xuyên,,Ung Văn Khiêm,An Giang
10.442104545454548,105.17162636363638,not defined or m2m,537,38,,,Huyện Châu Thành,,Đường tỉnh 941,An Giang
10.392565,105.42701,TCB,322,11,,,Thành phố Long Xuyên,,Trần Hưng Đạo,An Giang
10.377502857142858,105.43159714285714,TCB,37,19,,,Thành phố Long Xuyên,,Ung Văn Khiêm,An Giang
10.367535714285715,105.43943142857142,TPB,601,16,,,Thành phố Long Xuyên,,Ung Văn Khiêm,An Giang
10.724696666666667,105.11448,ACB,486,16,,,Huyện An Phú,,Đường tỉnh 957,An Giang
10.37705,105.43645684210526,VIB,727,60,K tìm thấy mc,nhu.nguyen15,Thành phố Long Xuyên,,Võ Thị Sáu,An Giang
10.585112857142859,105.35691714285714,VTB,443,11,,,Huyện Phú Tân,,Trần Phú,An Giang
10.379694166666667,105.44189833333334,VTB,886,24,,,Thành phố Long Xuyên,,Trần Nguyên Hãn,An Giang
10.377404999999998,105.43795250000001,MSB,923,27,,,Thành phố Long Xuyên,,Hãi Thượng Lãn Ông,An Giang
10.379723333333333,105.44109333333334,MBB,940,13,,,Thành phố Long Xuyên,,Nguyễn Trãi,An Giang
10.372264999999999,105.434565,TCB,85,13,,,Thành phố Long Xuyên,,Ung Văn Khiêm,An Giang
10.392074615384617,105.41842307692309,TCB,541,34,Không tìm thấy cửa hàng,vinh.nguyen18,Thành phố Long Xuyên,,Cường Để,An Giang
10.709409999999998,105.11764777777779,VCB,665,19,,,Thành phố Châu Đốc,,Thủ Khoa Nghĩa,An Giang
10.385773571428572,105.43629357142858,SACOM,891,31,K tìm thấy mc,nhu.nguyen15,Thành phố Long Xuyên,,Tôn Đức Thắng,An Giang
10.37071,105.4362,TCB,351,12,,,Thành phố Long Xuyên,,Ung Văn Khiêm,An Giang
10.58265,105.356812,SACOM,221,15,,,Huyện Phú Tân,,Phạm Văn Đồng,An Giang
10.456133333333334,105.29711047619047,SACOM,128,82,,,Huyện Châu Thành,,Đường tỉnh 941,An Giang
10.607238181818181,104.94739909090909,BIDV,763,24,,,Huyện Tịnh Biên,,Lý Thái Tổ,An Giang
10.376326842105263,105.43631999999998,MBB,359,72,K tìm thấy,nhu.nguyen15,Thành phố Long Xuyên,,Võ Thị Sáu,An Giang
10.705160833333334,105.11622750000001,TPB,123,40,,,Thành phố Châu Đốc,,Đường Trưng Nữ Vương,An Giang
10.376859999999999,105.44050399999999,ACB,80,12,,,Thành phố Long Xuyên,,Trần Hưng Đạo,An Giang
10.37702,105.43645000000001,MBB,2fg,21,,,Thành phố Long Xuyên,,Võ Thị Sáu,An Giang
10.697425,105.1255125,VCB,227,12,,,Thành phố Châu Đốc,,Nguyễn Tri Phương,An Giang
10.364314444444446,105.45071555555556,VTB,767,46,,nhu.nguyen15,Thành phố Long Xuyên,,Trần Hưng Đạo,An Giang
10.382686249999997,105.4408975,NCB,801,55,,,Thành phố Long Xuyên,,Nguyễn Văn Cưng,An Giang
10.379296,105.440632,MBB,534,14,,,Thành phố Long Xuyên,,Nguyễn Trãi,An Giang
10.375602352941176,105.43843058823529,SHB,J51,52,Chưa tìm thấy cửa hàng,vinh.nguyen18,Thành phố Long Xuyên,,Hãi Thượng Lãn Ông,An Giang
10.376420769230769,105.4363676923077,TCB,3,45,K tìm thấy,nhu.nguyen15,Thành phố Long Xuyên,,Võ Thị Sáu,An Giang
10.371403333333333,105.4355,TCB,649,11,,,Thành phố Long Xuyên,,Ung Văn Khiêm,An Giang
10.585763076923076,105.3554923076923,SACOM,919,51,,,Huyện Phú Tân,,Nguyễn Văn Cừ,An Giang
10.800552000000001,105.247114,SACOM,618,13,,,Huyện Tân Châu,,Trần Hưng Đạo,An Giang
10.377814999999998,105.432335,VCB,114,14,,,Thành phố Long Xuyên,,Hà Hoàng Hổ,An Giang
10.39675425,105.42255000000002,ACB,994,109,,,Thành phố Long Xuyên,,Nguyễn Trường Tộ,An Giang
10.378286,105.432198,MBB,151,16,,,Thành phố Long Xuyên,,Ngô Văn Sở,An Giang
10.428745384615384,105.00178230769231,ABB,890,43,,,Huyện Tri Tôn,,Trần Hưng Đạo,An Giang
10.707402499999999,105.12121392857142,MSB,739,78,,,Thành phố Châu Đốc,,Phan Đình Phùng,An Giang
10.707798750000002,105.12473125,VCB,407,19,,,Thành phố Châu Đốc,,Lê Lợi,An Giang
10.38954,105.42309,TCB,717,29,,,Thành phố Long Xuyên,,Võ Văn Hoài,An Giang
10.708183636363637,105.11772909090908,VTB,732,40,,,Thành phố Châu Đốc,,Thủ Khoa Huân,An Giang
10.797737058823527,105.24259000000002,BIDV,369,42,,,Huyện Tân Châu,,Tôn Đức Thắng,An Giang
10.8682275,105.183035,SACOM,380,14,,,Huyện Tân Châu,,QL. 80B,An Giang
10.38278,105.42580749999999,TCB,808,11,,,Thành phố Long Xuyên,,Nguyễn Hoàng,An Giang
