lat,lng,bank,tail3,trans,note,pic,district,ward,street,province
10.410778333333333,107.21972166666667,MBB,454,30,,hanh.mai,Huyện Long Điền,,Võ Thị Sáu,Bà Rịa - Vũng Tàu
10.6427575,107.114405,BIDV,543,21,,,Thị Xã Phú Mỹ,,Tô Nguyệt Đình,Bà Rịa - Vũng Tàu
10.59461125,107.06548125,OCB,240,20,,,Thị Xã Phú Mỹ,,Võ Nguyên Giáp,Bà Rịa - Vũng Tàu
10.492948333333333,107.18021833333333,AGRIBANK,5C0,20,,,Thành phố Bà Rịa,,Cách Mạng Tháng Tám,Bà Rịa - Vũng Tàu
10.354842222222223,107.08478111111111,MSB,1,59,,hanh.mai,Thành phố Vũng Tàu,,Ba Cu,Bà Rịa - Vũng Tàu
10.340560666666667,107.07947066666667,ACB,407,52,,hanh.mai,Thành phố Vũng Tàu,,Hoàng Hoa Thám,Bà Rịa - Vũng Tàu
10.491408333333332,107.18625555555555,TCB,639,42,,hanh.mai,Thành phố Bà Rịa,,Cách Mạng Tháng Tám,Bà Rịa - Vũng Tàu
10.323349090909094,107.08411954545456,TCB,868,56,,hanh.mai,Thành phố Vũng Tàu,,Hạ Long,Bà Rịa - Vũng Tàu
10.535870000000001,107.41082857142858,VTB,22,22,,,Huyện Xuyên Mộc,,27 Tháng 4,Bà Rịa - Vũng Tàu
10.372284,107.083018,TCB,835,12,,,Thành phố Vũng Tàu,,Tăng Bạt Hổ,Bà Rịa - Vũng Tàu
10.496449285714288,107.18659928571428,MBB,868,94,,hanh.mai,Thành phố Bà Rịa,,Nguyễn Thị Định,Bà Rịa - Vũng Tàu
10.415695,107.22204,ACB,437,12,,,Huyện Long Điền,,Đường Điện Biên Phủ,Bà Rịa - Vũng Tàu
10.345970666666666,107.07794399999999,NAB,999,43,,hanh.mai,Thành phố Vũng Tàu,,Lý Thường Kiệt,Bà Rịa - Vũng Tàu
10.53397125,107.40767958333332,ACB,437,68,,hanh.mai,Huyện Xuyên Mộc,,27 Tháng 4,Bà Rịa - Vũng Tàu
10.484314666666666,107.20218466666667,MSB,369,72,,hanh.mai,Huyện Long Điền,,Võ Thị Sáu,Bà Rịa - Vũng Tàu
10.500773,107.17693,BIDV,520,42,,hanh.mai,Thành phố Bà Rịa,,Trần Hưng Đạo,Bà Rịa - Vũng Tàu
10.33991,107.07866,TCB,13,11,,,Thành phố Vũng Tàu,,Nguyễn Trường Tộ,Bà Rịa - Vũng Tàu
10.386912,107.120636,VTB,397,21,,,Thành phố Vũng Tàu,,Huỳnh Văn Hớn,Bà Rịa - Vũng Tàu
10.337823333333333,107.08536666666667,VCB,802,33,,hanh.mai,Thành phố Vũng Tàu,,Hoàng Hoa Thám,Bà Rịa - Vũng Tàu
