lat,lng,bank,tail3,trans,note,pic,district,ward,street,province
16.073365185185178,108.14974777777776,VCB,443,84,,le.vo,Quận Liên Chiểu,,Đường Nguyễn Lương Bằng,Đà Nẵng
16.068802692307692,108.18359307692307,TCB,20,54,,le.vo,Quận Thanh Khê,,Đường Trần Cao Vân,Đà Nẵng
16.032644634146344,108.22123292682929,TCB,156,122,,ly.nguyen8,Quận Hải Châu,,Đường Xô Viết Nghệ Tĩnh,Đà Nẵng
16.070922173913043,108.22114826086955,TCB,92,40,,le.vo,Quận Hải Châu,,Đường Nguyễn Chí Thanh,Đà Nẵng
16.050228461538463,108.17047307692306,TPB,233,61,MC có loa rồi không có nhu cầu dùng thêm,phap.nguyen,Quận Liên Chiểu,,Đường Hòa Nam 5,Đà Nẵng
16.07546,108.2307,MBB,125,13,,,Quận Sơn Trà,,Ngô Quyền,Đà Nẵng
16.068224,108.214619,TCB,149,25,,,Quận Hải Châu,,Kiệt 269 Ông Ích Khiêm,Đà Nẵng
16.032237272727272,108.22277454545456,TCB,168,86,,le.vo,Quận Hải Châu,,Đường Núi Thành,Đà Nẵng
16.055128928571428,108.21228785714285,VCB,503,76,,tung.dam,Quận Thanh Khê,,Đường Nguyễn Hoàng,Đà Nẵng
16.019755,108.1975625,VCB,237,19,,,Quận Cẩm Lệ,,Đường Nguyễn Phước Tấn,Đà Nẵng
16.068417500000002,108.21385031250001,VCB,541,80,,le.vo,Quận Thanh Khê,,Đường Ông Ích Khiêm,Đà Nẵng
16.071962799999998,108.14715240000001,SACOM,479,63,,le.vo,Quận Liên Chiểu,,Đường Đồng Kè,Đà Nẵng
16.076380384615387,108.2383173076923,VCB,888,57,,khang.nguyen10,Quận Sơn Trà,,Đường Số 6,Đà Nẵng
16.066131666666667,108.20037166666665,TCB,636,16,,,Quận Thanh Khê,,Điện Biên Phủ,Đà Nẵng
15.965073888888888,108.18044722222221,MBB,956,61,,le.vo,Huyện Hòa Vang,,Đường tỉnh 605,Đà Nẵng
16.0373475,108.183975,MBB,386,35,,van.mai,Quận Cẩm Lệ,,Đường Tôn Đản,Đà Nẵng
16.077166666666667,108.21209999999999,VCB,344,32,,khang.nguyen10,Quận Hải Châu,,Đường Ông Ích Khiêm,Đà Nẵng
16.07029142857143,108.14461571428571,MBB,352,16,,,Quận Liên Chiểu,,Đường Âu Cơ,Đà Nẵng
16.092317500000004,108.14407625000001,VPB,999,21,,,Quận Liên Chiểu,,Đường Xuân Thiều 34,Đà Nẵng
16.077996842105261,108.21192315789473,BIDV,980,53,,khang.nguyen10,Quận Hải Châu,,Đường Ông Ích Khiêm,Đà Nẵng
16.0692456,108.15376119999999,TCB,254,65,,phap.nguyen,Quận Liên Chiểu,,Trương Văn Đa,Đà Nẵng
16.062036666666664,108.15734733333333,VCB,358,46,,le.vo,Quận Liên Chiểu,,Đường Mẹ Suốt,Đà Nẵng
16.078042814814815,108.2117974074074,MBB,374,320,,le.vo,Quận Hải Châu,,Đường Ông Ích Khiêm,Đà Nẵng
16.0124525,108.21915,TCB,811,34,,le.vo,Quận Cẩm Lệ,,Đường Lê Quảng Chí,Đà Nẵng
16.070316666666667,108.191695,OCB,169,15,,,Quận Thanh Khê,,Đường Hà Huy Tập,Đà Nẵng
16.071465,108.23080999999999,MBB,349,14,,,Quận Sơn Trà,,Đường Ngô Quyền,Đà Nẵng
16.072733965517237,108.20986913793102,TCB,53,163,,tung.dam,Quận Thanh Khê,,Đường Trần Cao Vân,Đà Nẵng
16.074065833333332,108.16722166666666,TCB,368,43,,le.vo,Quận Liên Chiểu,,Đường Phùng Hưng,Đà Nẵng
15.982287777777779,108.27318444444445,AGRIBANK,500,31,,hau.pham1,Quận Ngũ Hành Sơn,,Nguyễn Duy Trinh,Đà Nẵng
16.067042666666669,108.21023400000001,TCB,496,44,,tung.dam,Quận Thanh Khê,,Hoàng Hoa Thám,Đà Nẵng
16.097463333333334,108.09630999999999,VTB,524,34,,vi.le5,Huyện Hòa Vang,,Đường tỉnh 601,Đà Nẵng
16.046466883116878,108.24165623376622,TCB,42,224,,hau.pham1,Quận Ngũ Hành Sơn,,Đường Châu Thị Vĩnh Tế,Đà Nẵng
15.980771,108.255427,TCB,27,17,,,Quận Ngũ Hành Sơn,,Đường Trần Đại Nghĩa,Đà Nẵng
16.053600731707316,108.16939829268293,SACOM,115,104,Chưa có nhu cầu lắp loa,phap.nguyen,Quận Liên Chiểu,,Đường Nguyễn Huy Tưởng,Đà Nẵng
16.037055000000002,108.20903,VPB,111,14,,,Quận Hải Châu,,Đường Phan Đăng Lưu,Đà Nẵng
16.058518399999997,108.213248,MBB,574,83,,le.vo,Quận Thanh Khê,,Đường Nguyễn Hoàng,Đà Nẵng
16.036733125,108.21951625,SACOM,361,46,,le.vo,Quận Hải Châu,,Đường Hồ Biểu Chánh,Đà Nẵng
16.066322352941178,108.22240470588235,TCB,14,45,,le.vo,Quận Hải Châu,,Đường Trần Quốc Toản,Đà Nẵng
16.055521875,108.211783125,MBB,640,39,,tung.dam,Quận Thanh Khê,,Đường Lê Đình Lý,Đà Nẵng
16.047338636363634,108.24142250000001,TCB,674,206,,hau.pham1,Quận Ngũ Hành Sơn,,Đường Châu Thị Vĩnh Tế,Đà Nẵng
16.043068571428574,108.24324142857142,MBB,135,10,,,Quận Ngũ Hành Sơn,,Đường Thị Xuân Quý,Đà Nẵng
16.086685000000003,108.2433525,NAB,452,17,,,Quận Sơn Trà,,Đường Trần Duy Chiến,Đà Nẵng
15.981248,108.20282,BIDV,213,14,,,Huyện Hòa Vang,,Phong Nam,Đà Nẵng
16.007906666666663,108.18473266666666,AGRIBANK,996,57,,van.mai,Quận Cẩm Lệ,,Đường Số 3,Đà Nẵng
16.032835384615382,108.21639461538462,MBB,628,65,,le.vo,Quận Hải Châu,,Đường Huy Cận,Đà Nẵng
16.064410000000002,108.23079666666666,SACOM,637,52,,khang.nguyen10,Quận Sơn Trà,,Đường Triệu Việt Vương,Đà Nẵng
16.06788785714286,108.22034142857143,SACOM,619,40,,le.vo,Quận Hải Châu,,Đường Phan Châu Trinh,Đà Nẵng
16.081793499999996,108.219644,BIDV,39,102,,le.vo,Quận Hải Châu,,Đường Tân Lập 1,Đà Nẵng
16.056696,108.21015,VTB,497,20,,,Quận Thanh Khê,,Đường Phạm Văn Nghị,Đà Nẵng
16.066766470588238,108.23557617647059,MBB,798,97,,le.vo,Quận Sơn Trà,,Đường Phạm Cự Lượng,Đà Nẵng
16.045058205128203,108.24092641025641,OCB,753,114,,le.vo,Quận Ngũ Hành Sơn,,Đường Phan Tứ,Đà Nẵng
16.031978000000002,108.22617133333331,TPB,213,35,,ly.nguyen8,Quận Hải Châu,,Đường Phạm Văn Bạch,Đà Nẵng
16.058311000000003,108.168328,SACOM,240,21,,,Quận Liên Chiểu,,Đường Tô Hiệu,Đà Nẵng
16.028782083333336,108.21166666666666,TCB,329,53,Không gặp chủ quán,van.mai,Quận Cẩm Lệ,,Đường Lê Ngân,Đà Nẵng
16.051406909090908,108.24522145454546,VCB,ET2,153,,hau.pham1,Quận Ngũ Hành Sơn,,Đường Đỗ Bá,Đà Nẵng
16.0666925,108.2019425,VTB,346,36,,le.vo,Quận Thanh Khê,,Đường Võ Văn Tần,Đà Nẵng
16.074358,108.217828,BIDV,174,13,,,Quận Hải Châu,,Đường Quang Trung,Đà Nẵng
16.063799444444445,108.16682222222222,VTB,130,45,Chủ quán không có nhu cầu  không tiếp chuyện,le.vo,Quận Liên Chiểu,,Đường Tô Hiệu,Đà Nẵng
16.067353188405797,108.22217869565216,VCB,428,202,,le.vo,Quận Hải Châu,,Đường Phạm Hồng Thái,Đà Nẵng
16.032528749999997,108.2119025,HDB,694,31,,van.mai,Quận Cẩm Lệ,,Đường Bàu Tràm 1,Đà Nẵng
16.0596,108.21932600000001,TCB,224,31,,le.vo,Quận Hải Châu,,Đường Phan Châu Trinh,Đà Nẵng
16.062672333333332,108.184474,TCB,154,54,,le.vo,Quận Thanh Khê,,Đường Huỳnh Ngọc Huệ,Đà Nẵng
16.035082666666668,108.21252133333333,TCB,557,31,,le.vo,Quận Cẩm Lệ,,Đường Phan Anh,Đà Nẵng
16.053066923076923,108.16805,TCB,796,57,,phap.nguyen,Quận Liên Chiểu,,Đường Tú Quỳ,Đà Nẵng
16.081592,108.221752,VCB,560,22,,,Quận Hải Châu,,Đường Trần Quý Cáp,Đà Nẵng
16.050928437499998,108.20812328125,MBB,618,179,,le.vo,Quận Hải Châu,,Đường Duy Tân,Đà Nẵng
16.069012647058827,108.18361205882354,SHB,895,104,,le.vo,Quận Thanh Khê,,Đường Thanh Huy 1,Đà Nẵng
16.062913636363636,108.15662909090909,TCB,482,33,,le.vo,Quận Liên Chiểu,,Đường Phạm Như Xương,Đà Nẵng
16.073629375,108.22463875000001,SeABank,868,49,,le.vo,Quận Hải Châu,,Bạch Đằng,Đà Nẵng
16.00598,108.214915,TCB,815,21,,,Quận Cẩm Lệ,,Đường Trần Lê,Đà Nẵng
16.06796901960784,108.18274098039217,VTB,430,217,,tung.dam,Quận Thanh Khê,,Đường Trần Cao Vân,Đà Nẵng
16.033931818181816,108.21857454545454,TCB,754,50,,ly.nguyen8,Quận Hải Châu,,Đường Lê Thanh Nghị,Đà Nẵng
16.000906086956526,108.23555652173911,VCB,T29,208,,le.vo,Quận Ngũ Hành Sơn,,Đường Đạm Phương,Đà Nẵng
16.022444545454544,108.24800727272728,VTB,970,27,,,Quận Ngũ Hành Sơn,,Kiệt 45 Đường D20,Đà Nẵng
16.04367,108.24478041666666,VCB,949,69,,hau.pham1,Quận Ngũ Hành Sơn,,Đường Bà Huyện Thanh Quan,Đà Nẵng
16.08370157894737,108.14999052631578,TPB,869,140,,le.vo,Quận Liên Chiểu,,Đường Bàu Mạc 23,Đà Nẵng
16.076513333333331,108.21007666666668,KLB,g32,15,,,Quận Hải Châu,,Đường Bắc Đẩu,Đà Nẵng
16.070647500000003,108.21504,TCB,990,32,,ly.nguyen8,Quận Hải Châu,,Kiệt 144 Hải Phòng,Đà Nẵng
16.020234146341465,108.20322914634147,TCB,342,216,,van.mai,Quận Cẩm Lệ,,Đường Ông Ích Đường,Đà Nẵng
16.034058181818178,108.21619727272727,TCB,735,50,,le.vo,Quận Hải Châu,,Đường Tố Hữu,Đà Nẵng
16.065944545454549,108.20339181818181,MSB,556,42,,tung.dam,Quận Thanh Khê,,Đường Điện Biên Phủ,Đà Nẵng
16.065820000000002,108.1921,EXIM,932,13,,,Quận Thanh Khê,,Điện Biên Phủ,Đà Nẵng
16.067335,108.24262333333334,VTB,618,15,,,Quận Sơn Trà,,Đường Hà Đặc,Đà Nẵng
16.0733225,108.21365625,TPB,637,27,,,Quận Hải Châu,,Đường Đống Đa,Đà Nẵng
16.052271428571427,108.16980571428572,TCB,11,16,,,Quận Liên Chiểu,,Đường Nguyễn Huy Tưởng,Đà Nẵng
16.063662147239267,108.15415699386503,TCB,318,400,,vi.le5,Quận Liên Chiểu,,Đường Phạm Như Xương,Đà Nẵng
16.081847407407409,108.23611851851852,VCB,829,102,Cây xăng,khang.nguyen10,Quận Sơn Trà,,Ngô Quyền,Đà Nẵng
16.05998625,108.20942166666667,MBB,719,54,,le.vo,Quận Thanh Khê,,Đường Phan Thanh,Đà Nẵng
16.0565368,108.21577079999999,TCB,239,52,,le.vo,Quận Hải Châu,,Kiệt 356 Hoàng Diệu,Đà Nẵng
