lat,lng,bank,tail3,trans,note,pic,district,ward,street,province
21.042614444444443,106.58806666666668,VTB,991,32,Đã lắp loa rồi,truong.do2,Thị xã Kinh Môn,,Đường Hoàng Thạch,Hải Dương
20.912375416666666,106.14837083333335,TCB,578,58,Khách hàng không có nhu cầu sử dụng loa,hai.doan,Huyện Bình Giang,,Đường Trần Hưng Đạo,Hải Dương
20.995445625000002,106.513458125,VTB,F11,52,Đã lắp loa rồi,truong.do2,Thị xã Kinh Môn,,Đường Lý Thường Kiệt,Hải Dương
20.933165131578953,106.32086828947368,MBB,700,205,Khách hàng đã có loa,hai.doan,Thành phố Hải Dương,,Lê Thanh Nghị,Hải Dương
20.937606875,106.32401374999999,MSB,523,64,không tìm thấy cửa hàng,anh.nguyen99,Thành phố Hải Dương,,Phạm Ngũ Lão,Hải Dương
20.940168709677415,106.30792258064517,MBB,666,87,không tìm được cửa hàng,anh.nguyen99,Thành phố Hải Dương,,Nguyễn Thị Duệ,Hải Dương
20.906251111111111,106.14753111111112,MBB,536,41,Khách hàng đã có loa thông báo,hai.doan,Huyện Bình Giang,,Phố Âu Cơ,Hải Dương
20.788404285714289,106.24305071428572,TCB,758,43,,hieu.nguyen36,Huyện Thanh Miện,,Phố Nguyễn Nghi,Hải Dương
20.933830000000004,106.30427153846153,AGRIBANK,04B,50,,,Thành phố Hải Dương,,Đường Nguyễn Văn Linh,Hải Dương
20.928164444444445,106.31996444444444,ACB,127,33,,,Thành phố Hải Dương,,Đường Trường Chinh,Hải Dương
20.97944285714286,106.53580357142857,MBB,456,37,Đã lắp loa rồi,truong.do2,Thị xã Kinh Môn,,Đường Trần Liễu,Hải Dương
20.908618181818181,106.14799454545454,MBB,798,33,Khách hàng đã có loa thông báo,hai.doan,Huyện Bình Giang,,Phố Phạm Ngũ Lão,Hải Dương
20.934726315789469,106.32571578947369,MBB,784,43,Cửa hàng được cấp loa miễn phí bên ngân hàng,anh.nguyen99,Thành phố Hải Dương,,Trương Mỹ,Hải Dương
20.898726,106.14323999999999,HDB,171,35,Khách hàng đã có loa thông báo,hai.doan,Huyện Bình Giang,,Đường Văn Lang,Hải Dương
20.875278235294115,106.29616764705882,BIDV,0V1,72,Khách hàng đã có loa . Không có nhu cầu lắp thêm,hai.doan,Huyện Gia Lộc,,Phố Đỗ Quang,Hải Dương
20.934474375000004,106.19206312499999,VCB,666,39,Đã có loa ngân hàng,hanh.le9,Huyện Cẩm Giàng,,Quốc lộ 5,Hải Dương
20.87526,106.19332545454546,MBB,772,36,Không tìm thấy cửa hàng kinh doanh.,hai.doan,Huyện Bình Giang,,Đường tỉnh 392,Hải Dương
20.937046923076924,106.33184538461539,MBB,180,52,,,Thành phố Hải Dương,,Bạch Đằng,Hải Dương
20.93351545454545,106.19233545454546,MBB,868,38,Đã có loa mb,hanh.le9,Huyện Cẩm Giàng,,Quốc lộ 5,Hải Dương
21.063211250000002,106.387069375,BIDV,426,60,Đã lắp loa rồi,truong.do2,Thành phố Chí Linh,,QL 37, Tân Dân,Hải Dương
20.992627142857142,106.54859857142858,VTB,F11,35,Đã lắp loa rồi,truong.do2,Thị xã Kinh Môn,,Đường Trần Hưng Đạo,Hải Dương
20.936072,106.306432,BIDV,49,44,cửa hàng từ chối,anh.nguyen99,Thành phố Hải Dương,,Vũ Hựu,Hải Dương
20.761401,106.49169,MBB,252,34,Khách hàng đã dùng loa,hai.doan,Huyện Tứ Kỳ,,Quốc lộ 10,Hải Dương
21.12814875,106.45075750000001,BIDV,551,43,Đã lắp loa rồi,truong.do2,Thành phố Chí Linh,,Phố Phục Thiện,Hải Dương
20.96734,106.1718,MBB,625,36,Đã có loa ngân hàng,hanh.le9,Huyện Cẩm Giàng,,Đường Huyện 19,Hải Dương
20.926511818181819,106.33687818181818,VTB,561,39,,,Thành phố Hải Dương,,Đường An Dương Vương,Hải Dương
20.787666666666667,106.23907,VCB,662,45,,hieu.nguyen36,Huyện Thanh Miện,,Đường Nguyễn Lương Bằng,Hải Dương
20.93346775,106.19270449999999,HDB,148,152,Cây xăng đã có loa,hanh.le9,Huyện Cẩm Giàng,,Quốc lộ 5,Hải Dương
20.938584285714285,106.31459,VIB,59,47,Khách hàng không có nhu cầu sử dụng,hai.doan,Thành phố Hải Dương,,Ngô Quyền,Hải Dương
20.934985866666661,106.30640253333335,BIDV,109,260,Cửa hàng xem xét,anh.nguyen99,Thành phố Hải Dương,,Vũ Hựu,Hải Dương
20.897499090909093,106.43402272727273,TCB,336,35,,,Huyện Thanh Hà,,Đường 25 Tháng 5,Hải Dương
20.938777333333334,106.31083199999999,BIDV,131,48,cửa hàng đang dùng loa của ngân hàng cấp miễn phí,anh.nguyen99,Thành phố Hải Dương,,Nguyễn Thị Duệ,Hải Dương
20.975949444444446,106.39332055555556,HDB,170,71,Đã lắp loa rồi,truong.do2,Huyện Kim Thành,,Quốc lộ 5,Hải Dương
20.937722,106.313124,VTB,458,40,khách dùng loa tingee,anh.nguyen99,Thành phố Hải Dương,,Nguyễn Thị Duệ,Hải Dương
20.93942375,106.16005875000002,VCB,605,38,Đã có loa ngân hàng,hanh.le9,Huyện Cẩm Giàng,,Quốc lộ 38,Hải Dương
20.935721538461539,106.23491769230769,PVCOM,2,42,Đã có loa ngân hàng,hanh.le9,Huyện Cẩm Giàng,,Quốc lộ 5,Hải Dương
21.10776,106.38917300000001,BIDV,84,32,Đã lắp loa rồi,truong.do2,Thành phố Chí Linh,,Trần Hưng Đạo,Hải Dương
20.929774285714281,106.30378214285714,BIDV,71,47,,,Thành phố Hải Dương,,Đường Thanh Bình,Hải Dương
20.934484545454549,106.32485818181819,MSB,638,31,không tìm thấy cửa hàng,anh.nguyen99,Thành phố Hải Dương,,Trương Mỹ,Hải Dương
20.789630399999997,106.24424279999998,VTB,124,66,,hieu.nguyen36,Huyện Thanh Miện,,Phố Trương Đỗ,Hải Dương
20.938308846153848,106.31199961538459,VTB,F37,87,Không tìm được khách hàng,anh.nguyen99,Thành phố Hải Dương,,Nguyễn Thị Duệ,Hải Dương
