lat,lng,bank,tail3,trans,note,pic,district,ward,street,province
20.87626125,106.564996875,VTB,886,35,,vi.dinh,Huyện An Dương,,Quốc lộ 17B,Hải Phòng
20.8447,106.69850000000001,MBB,856,34,,,Quận Ngô Quyền,,Phố An Đà,Hải Phòng
20.851148333333335,106.68075583333334,VPB,183,118,,,Quận Lê Chân,,Phố Hồ Sen,Hải Phòng
20.829683529411763,106.72008470588234,TCB,453,50,,phuong.nguyen50,Quận Hải An,,Phố Ngô Gia Tự,Hải Phòng
20.825831904761905,106.70840142857142,BIDV,391,48,Dùng loa ngân hang,phuong.nguyen50,Quận Hải An,,Phố Cát Bi,Hải Phòng
20.82970071428571,106.69613690476189,TCB,141,101,,vi.dinh,Quận Ngô Quyền,,Phố Thiên Lôi,Hải Phòng
20.922028888888889,106.6832911111111,MBB,666,47,Khách sử dụng loa Ngân Hàng,anh.dao5,Huyện Thủy Nguyên,,Phố Bồ Đề,Hải Phòng
20.922115714285717,106.67936642857143,MBB,412,57,Khách Sử Dụng loa Ngân Hàng cấp,anh.dao5,Huyện Thủy Nguyên,,Phố Trần Quốc Toản,Hải Phòng
20.858428,106.68068899999999,ACB,666,54,Khách dùng loa ngân hàng,hoan.dong,Quận Hồng Bàng,,Phố Kỳ Đồng,Hải Phòng
20.829636,106.67928199999999,TCB,536,40,,vi.dinh,Quận Lê Chân,,Phố Thiên Lôi,Hải Phòng
20.846208333333333,106.69656833333333,TCB,129,17,,,Quận Ngô Quyền,,Đường vòng Hồ An Biên,Hải Phòng
20.835028888888885,106.69091333333333,MBB,687,32,,,Quận Lê Chân,,Đường Kênh Dương (Quán Nam),Hải Phòng
20.845330909090912,106.70072272727272,TCB,11,39,,vi.dinh,Quận Ngô Quyền,,Phố An Đà,Hải Phòng
20.856403333333336,106.68247,TCB,328,42,Ngân hàng tặng loa,hoan.dong,Quận Hồng Bàng,,Phố Đinh Tiên Hoàng,Hải Phòng
20.816794545454545,106.62542909090908,not defined or m2m,261,33,,linh.nguyen46,Quận Kiến An,,Phố Hoàng Thiết Tâm,Hải Phòng
