lat,lng,bank,tail3,trans,note,pic,district,ward,street
21.041976428571427,105.82075785714287,MSB,743,44,,dat.tran8,Quận Tây Hồ,,Đường Hoàng Hoa Thám
21.061380952380954,105.77312047619047,MBB,54,92,,doan.ngo,Quận Bắc Từ Liêm,,Đường Phan Bá Vành
20.96748625,105.87133125,TCB,989,34,,anh.vu10,Quận Hoàng Mai,,Phố Yên Sở
21.035508461538459,105.74050076923076,BIDV,561,30,,cong.nguyen3,Quận Nam Từ Liêm,,Phố Hòe Thị
21.035144166666669,105.77293583333332,MBB,808,53,,phuong.nguyen44,Quận Cầu Giấy,,Phố Dương Khuê
20.99716,105.82688,MBB,820,13,,hai.le8,Quận Thanh Xuân,Phường Khương Mai,Phố Nguyễn Ngọc Nại
20.991305,105.79585833333333,not defined or m2m,279,38,,phat.nguyen7,Quận Nam Từ Liêm,,Đường Lương Thế Vinh
20.985718,105.78437533333333,TPB,888,39,,vinh.nguyen12,Quận Hà Đông,,Phố Nguyễn Văn Lộc
21.037053,105.786662,MSB,2,45,Mc đã có loa của bank,bao.pham1,Quận Cầu Giấy,,Đường Xuân Thủy
21.07429,105.813144,TCB,785,29,,,Quận Tây Hồ,Phường Nhật Tân,Đường Lạc Long Quân
21.126047857142858,105.77269214285714,BIDV,738,28,,,Huyện Đông Anh,Xã Kim Chung,Đường Hậu Dưỡng
21.061453333333333,105.78119000000001,TPB,92,13,,,Quận Bắc Từ Liêm,Phường Cổ Nhuế 2,Đường Cổ Nhuế
21.011895999999997,105.85846599999999,TCB,995,33,Có loa r,minh.nguyen24,Quận Hai Bà Trưng,,Phố Thọ Lão
20.995176842105263,105.64191052631578,TCB,301,67,,ngoc.duong1,Huyện Quốc Oai,,Ngách 19/35 Đường Hoàng Xá
20.970571666666668,105.78200333333334,TCB,562,17,,,Quận Hà Đông,Phường Nguyễn Trãi,Phố Tô Hiệu
21.038517777777781,105.84848666666667,TCB,261,31,,thuong.nguyen9,Quận Hoàn Kiếm,,Phố Hàng Giấy
21.017268333333334,105.80621166666667,BIDV,627,31,không gặp chủ,tien.truong,Quận Đống Đa,,Ngõ 76 Phố Nguyễn Chí Thanh
21.02931222222222,105.84000555555556,TCB,793,39,,hai.le8,Quận Ba Đình,,Phố Nguyễn Thái Học
20.990695000000002,105.85903625,TCB,170,30,,,Quận Hoàng Mai,,Ngõ 48 Mai Động
21.031378750000002,105.91505000000001,MBB,979,32,Kcnc,huy.le16,Quận Long Biên,,Phố Vũ Xuân Thiều
20.98307,105.86188428571428,MBB,368,27,,truong.duong,Quận Hoàng Mai,Phường Hoàng Văn Thụ,Phố Tân Mai
20.994693684210532,105.75934273684207,MBB,866,293,,,Quận Nam Từ Liêm,,Ngõ 252 Đường Đại Mỗ
20.97919,105.86521,MBB,888,11,,,Quận Hoàng Mai,Phường Yên Sở,Ngõ 587 Tam Trinh
21.1271975,105.77357,MBB,274,18,,,Huyện Đông Anh,Xã Kim Chung,Đường Hậu Dưỡng
21.009392857142856,105.81932714285716,MBB,566,22,,,Quận Đống Đa,Phường Thịnh Quang,Phố Thái Thịnh
20.977078333333335,105.79138666666667,TCB,922,18,,,Quận Hà Đông,Phường Văn Quán,Đường 19 Tháng 5
21.011536,105.801108,MBB,804,14,,,Quận Cầu Giấy,Phường Trung Hoà,Ngõ 69 Trần Duy Hưng
21.085195000000002,105.627235,MBB,m1i,41,,,Huyện Phúc Thọ,,Đường tỉnh 421B
21.017118571428572,105.85569285714286,TCB,223,25,,,Quận Hai Bà Trưng,Phường Phạm Đình Hổ,Phố Lò Đúc
20.962449411764705,105.86494470588235,TCB,995,53,,,Quận Hoàng Mai,,Phố Hưng Thịnh
20.999671428571425,105.85039714285715,VTB,850,18,,,Quận Hai Bà Trưng,Phường Bạch Mai,Ngõ 392 Phố Bạch Mai
20.983439047619051,105.80052857142859,VCB,929,106,,hai.le8,Quận Thanh Xuân,,Ngõ 97 Triều Khúc
21.009191666666666,105.77961833333335,VCB,106,11,,,Quận Nam Từ Liêm,Phường Mễ Trì,Ngõ 32 Phố Đồng Me
21.0304945,105.8486075,TCB,329,41,,thuong.nguyen9,Quận Hoàn Kiếm,,Phố Chân Cầm
21.041031999999998,105.782748,BIDV,897,34,,,Quận Cầu Giấy,,Ngõ 215 Phố Trần Quốc Hoàn
21.086515000000002,105.63797833333334,MBB,648,16,,,Huyện Phúc Thọ,Xã Hiệp Thuận,Quốc lộ 32
21.02663379310345,105.51933310344826,MBB,562,88,,tuan.tran8,Huyện Thạch Thất,,Quốc lộ 21
21.03902125,105.75854,TCB,554,46,,doan.ngo,Quận Bắc Từ Liêm,,Đường Phúc Diễn
20.997196666666667,105.78770066666667,TCB,82,43,,phat.nguyen7,Quận Nam Từ Liêm,,Đường Lương Thế Vinh
20.971443636363635,105.77719909090908,TPB,992,24,,,Quận Hà Đông,Phường Nguyễn Trãi,Phố Hoàng Hoa Thám
21.02878,105.77294333333333,TCB,222,30,,phat.nguyen7,Quận Nam Từ Liêm,,Đường Phú Mỹ
20.998676000000003,105.805947,MBB,640,43,,,Quận Thanh Xuân,,Phố Nguyễn Huy Tưởng
20.977816842105266,105.83589210526317,TPB,886,36,,,Quận Hoàng Mai,,Phố Nguyễn Cảnh Dị
21.1414925,105.85430125000002,TCB,354,39,Khách đã có loa,hiep.nguyen2,Huyện Đông Anh,,Đường Đản Dị
21.027291111111111,105.82435333333332,VCB,586,29,,hung.nguyen27,Quận Đống Đa,Phường Cát Linh,Phố Giảng Võ
21.111831428571431,105.78977285714285,BIDV,126,36,Không tìm thấy,anh.nguyen93,Huyện Đông Anh,,Đường 23B
21.015194,105.848866,MBB,668,14,,,Quận Hai Bà Trưng,Phường Nguyễn Du,Phố Tuệ Tĩnh
21.022863043478264,105.7687247826087,VTB,546,73,,,Quận Nam Từ Liêm,,Phố Tân Mỹ
20.986877857142854,105.79187785714286,VPB,699,43,,cong.nguyen3,Quận Nam Từ Liêm,,Ngõ 67 Phùng Khoang
20.98835,105.79219499999999,TCB,19,12,,,Quận Nam Từ Liêm,Phường Trung Văn,Ngách 127/29 Phùng Khoang
21.007522222222221,105.83521333333334,AGRIBANK,72,31,,,Quận Đống Đa,,Phố Hoàng Tích Trí
21.052338499999998,105.735843,TCB,581,49,,doan.ngo,Quận Bắc Từ Liêm,,Đường Cầu Diễn
20.96790857142857,105.78269,BIDV,17,14,,,Quận Hà Đông,Phường Nguyễn Trãi,Phố Bến Phà
21.039050526315794,105.79196789473684,SHB,J15,51,,phuong.nguyen44,Quận Cầu Giấy,,Phố Trần Đăng Ninh
20.974594,105.86925199999999,VTB,359,25,,,Quận Hoàng Mai,Phường Yên Sở,Ngõ 885 Tam Trinh
20.99232,105.84943,TPB,222,11,,vinh.nguyen12,Quận Hai Bà Trưng,Phường Trương Định,Đường Trương Định
20.969126666666668,105.78857733333334,TCB,191,38,,vinh.nguyen12,Quận Hà Đông,,Phố Nguyễn Sơn Hà
21.060855999999998,105.78088000000001,TCB,653,18,,,Quận Bắc Từ Liêm,Phường Cổ Nhuế 2,Ngõ 105 Cổ Nhuế
20.979212222222223,105.79881333333334,MBB,232,36,,,Huyện Thanh Trì,,Ngõ 138 Tân Triều
