lat,lng,bank,tail3,trans,note,pic,district,ward,street,province
20.936172,106.05528933333333,VTB,647,43,,,Thị xã Mỹ Hào,,Đường Phó Đức Chính,Hưng Yên
20.895846875,106.0473475,VCB,728,62,Khách hàng không có nhu cầu,cuong.tran3,Huyện Yên Mỹ,,Đường tỉnh 380,Hưng Yên
20.976832142857141,105.99585750000001,MBB,318,74,Đã có loa ngân hàng MB,hanh.le9,Huyện Văn Lâm,,Đường tỉnh 385,Hưng Yên
20.9867025,106.01405625000001,VCB,550,31,Không tìm thấy cửa hàng,hanh.le9,Huyện Văn Lâm,,Chợ Đậu,Hưng Yên
20.97072,105.91931,VTB,290,51,,,Huyện Văn Giang,,Xóm 4 Xuân Quan,Hưng Yên
20.922308888888889,106.01314611111113,BIDV,90,53,Khách hàng không có nhu cầu,cuong.tran3,Huyện Yên Mỹ,,Đường tỉnh 381,Hưng Yên
20.93821642857143,106.06139642857144,TCB,902,122,,,Thị xã Mỹ Hào,,Đường Nguyễn Bình,Hưng Yên
20.883990909090908,106.04039,BIDV,68,30,Khách hàng không có nhu cầu,cuong.tran3,Huyện Yên Mỹ,,Quốc lộ 39,Hưng Yên
20.983992,105.979068,TCB,11,41,Đã có loa ngân hàng,hanh.le9,Huyện Văn Lâm,,Đường tỉnh 385,Hưng Yên
20.957501666666669,105.9731475,VIB,78,36,,,Huyện Văn Giang,,Đại Lộ Bốn Mùa,Hưng Yên
20.844901764705881,106.0070194117647,VCB,69,62,,,Huyện Khoái Châu,,Đường tỉnh 379,Hưng Yên
20.927642592592591,106.08490185185184,MBB,698,63,,,Thị xã Mỹ Hào,,Đường Nguyễn Trung Ngạn,Hưng Yên
20.936225,106.0549425,MBB,598,37,,,Thị xã Mỹ Hào,,Đường Phó Đức Chính,Hưng Yên
20.916403125,106.05691437499999,VTB,S01,44,Khách hàng k có nhu cầu  sale đã tư vấn,cuong.tran3,Huyện Yên Mỹ,,Đường tỉnh 380,Hưng Yên
20.954550588235293,106.00930352941175,TCB,120,34,Không thấy cửa hàng,hanh.le9,Huyện Văn Lâm,,đường bờ,Hưng Yên
20.960989464285714,105.99696107142854,HDB,51,232,Cây xăng đã có loa,hanh.le9,Huyện Văn Lâm,,Quốc lộ 5,Hưng Yên
20.937317692307694,106.05865923076922,TCB,923,39,,,Thị xã Mỹ Hào,,Đường Nguyễn Thiện Thuật,Hưng Yên
20.918722857142857,106.13176,MBB,815,32,,,Thị xã Mỹ Hào,,Đường Nguyễn Văn Linh,Hưng Yên
20.982052692307693,105.9807223076923,MBB,402,63,Đã có loa mb,hanh.le9,Huyện Văn Lâm,,Đường tỉnh 385,Hưng Yên
20.95467,105.98988529411764,ACB,702,72,,,Huyện Văn Giang,,Đường Tô Quyền,Hưng Yên
20.845201351351353,106.00752891891891,AGRIBANK,685,117,,,Huyện Khoái Châu,,Đường tỉnh 379,Hưng Yên
20.671752173913042,106.05335086956521,HDB,24,67,Đã có loa,hieu.nguyen36,Thành phố Hưng Yên,,Đường Phạm Bạch Hổ,Hưng Yên
20.84440142857143,106.00948285714284,VTB,865,38,,,Huyện Khoái Châu,,Quốc lộ 39,Hưng Yên
20.93963875,106.02815875,VCB,126,62,Khách hàng không có nhu cầu,cuong.tran3,Huyện Yên Mỹ,,Đường tỉnh 381,Hưng Yên
20.731724,106.17599449999999,MBB,125,88,,hieu.nguyen36,Huyện Phù Cừ,,Đường Tống Trân,Hưng Yên
20.947820740740738,105.93495629629629,VPB,62,74,,,Huyện Văn Giang,,Đường Thủy Nguyên,Hưng Yên
20.954081538461537,105.98864384615385,TCB,983,37,,,Huyện Văn Giang,,Đường Tô Quyền,Hưng Yên
20.98112733333333,105.98090066666666,TPB,999,73,Đã có loa,hanh.le9,Huyện Văn Lâm,,Đường tỉnh 385,Hưng Yên
20.983175000000003,105.980277,VCB,769,37,Đã có loa thần tài,hanh.le9,Huyện Văn Lâm,,Đường tỉnh 385,Hưng Yên
20.65541375,106.05959750000001,TPB,343,30,,hieu.nguyen36,Thành phố Hưng Yên,,Đường Chùa Đông,Hưng Yên
20.95709,105.99867833333334,VTB,S05,30,Đã có loa ngân hàng,hanh.le9,Huyện Văn Lâm,,Tài Chính,Hưng Yên
20.645710833333332,106.05380416666667,MBB,766,37,,hieu.nguyen36,Thành phố Hưng Yên,,Bãi Sậy,Hưng Yên
20.73229,106.17754,VTB,886,30,Khách hàng đã có loa,hieu.nguyen36,Huyện Phù Cừ,,Đường La Tiến,Hưng Yên
20.887503333333335,105.9580488888889,TCB,55,31,,,Huyện Khoái Châu,,Đường tỉnh 377,Hưng Yên
20.956808181818182,105.99996272727273,VCB,213,37,Đã có loa vietcombank,hanh.le9,Huyện Văn Lâm,,Tài Chính,Hưng Yên
20.675986666666667,106.05949666666666,MBB,842,30,Ch bán xăng dầu,hieu.nguyen36,Thành phố Hưng Yên,,Đường Nguyễn Văn Linh,Hưng Yên
