lat,lng,bank,tail3,trans,note,pic,district,ward,street,province
18.66098,105.6967925,VCB,229,16,,toan.vo4,Thành phố Vinh,,Nguyễn Kiệm,Nghệ An
18.662177333333336,105.69856533333333,TCB,759,36,,le.vo,Thành phố Vinh,,Đường Yên Lâm,Nghệ An
18.693617500000002,105.685635,MBB,982,13,,toan.vo4,Thành phố Vinh,,Lý Tự Trọng,Nghệ An
18.685881764705883,105.69677411764707,VTB,886,32,,le.vo,Thành phố Vinh,,Nguyễn Sỹ Sách,Nghệ An
18.661512,105.69690800000001,TCB,518,12,,,Thành phố Vinh,,Nguyễn Kiệm,Nghệ An
18.661720312499998,105.69605062499998,MBB,798,152,,thang.tran6,Thành phố Vinh,,Ngõ 27 Bạch Liêu,Nghệ An
18.66445875,105.71144625,BIDV,911,34,,le.vo,Thành phố Vinh,,Đường Dũng Quyết,Nghệ An
18.666896875000003,105.6449584375,HDB,128,115,,le.vo,Thành phố Vinh,,Quốc lộ 46,Nghệ An
18.659225428571428,105.67453685714284,HDB,43,112,,le.vo,Thành phố Vinh,,Đường Cao Xuân Huy,Nghệ An
18.693233,105.68207349999999,MSB,881,66,,,Thành phố Vinh,,Ngõ 49 Đường Nguyễn Thị Ngọc Oanh,Nghệ An
18.658203750000002,105.69990000000001,VCB,202,25,,,Thành phố Vinh,,Nguyễn Văn Trỗi,Nghệ An
19.011149999999997,105.582675,VCB,338,21,,hai.nguyen26,Huyện Diễn Châu,,Quốc lộ 7B,Nghệ An
18.657781428571425,105.6973376190476,BIDV,539,130,,toan.vo4,Thành phố Vinh,,Nguyễn Văn Trỗi,Nghệ An
18.662139333333332,105.69875200000001,MBB,220,47,,toan.vo4,Thành phố Vinh,,Bạch Liêu,Nghệ An
18.692046309523811,105.68201464285714,VPB,745,240,,le.vo,Thành phố Vinh,,Lý Tự Trọng,Nghệ An
18.675262500000002,105.69705593750001,TCB,933,107,,toan.vo4,Thành phố Vinh,,Phong Định Cảng,Nghệ An
18.664216999999997,105.697953,VTB,H80,30,,le.vo,Thành phố Vinh,,Võ Thị Sáu,Nghệ An
18.673293333333334,105.68859266666665,MBB,136,53,,toan.vo4,Thành phố Vinh,,Nguyễn Văn Cừ,Nghệ An
18.673317777777779,105.70510666666667,TCB,512,61,Có loa rồi,le.vo,Thành phố Vinh,,Nguyễn Duy Trinh,Nghệ An
18.667733636363636,105.67674363636364,AGRIBANK,140,23,,toan.vo4,Thành phố Vinh,,Đinh Công Tráng,Nghệ An
18.666368235294122,105.66443411764706,ACB,737,32,,le.vo,Thành phố Vinh,,Phan Đình Phùng,Nghệ An
18.671821250000004,105.70695708333334,TCB,388,99,Đã có loa  không muốn lắp thêm,le.vo,Thành phố Vinh,,Nguyễn Viết Xuân,Nghệ An
18.662599000000004,105.69898566666666,BIDV,888,73,,toan.vo4,Thành phố Vinh,,Võ Thị Sáu,Nghệ An
18.712689166666667,105.68135416666668,MBB,346,52,,thang.tran6,Thành phố Vinh,,Trương Văn Lĩnh,Nghệ An
18.6976,105.69781,VTB,S01,12,,toan.vo4,Thành phố Vinh,,Hải Thượng Lãn Ông,Nghệ An
18.676120555555553,105.68421444444445,VTB,686,64,,le.vo,Thành phố Vinh,,Lê Hồng Phong,Nghệ An
18.658551999999997,105.679764,OCB,719,85,,le.vo,Thành phố Vinh,,Đường Lê Bá Tùng,Nghệ An
18.6924855,105.682943,MBB,296,58,,thi.nguyen8,Thành phố Vinh,,Lý Tự Trọng,Nghệ An
18.701823076923073,105.68595307692308,BIDV,581,47,Quán đã có loa ngân hàng,thang.tran6,Thành phố Vinh,,Trương Văn Lĩnh,Nghệ An
