lat,lng,bank,tail3,trans,note,pic,district,ward,street,province
15.557166000000002,108.50120933333332,VCB,995,31,Đang dùng loa đối thủ,diem.pham4,Thành phố Tam Kỳ,,Nguyễn Thuật,Quảng Nam
15.899104000000001,108.29311499999999,TCB,862,48,,hai.doan1,Thành phố Hội An,,Đường An Dương Vương,Quảng Nam
15.572000256410258,108.48435769230771,OCB,810,112,,vi.dinh,Thành phố Tam Kỳ,,Đường Lê Duẩn,Quảng Nam
15.942632,108.254626,VCB,80,38,,vi.dinh,Thị xã Điện Bàn,,Đường Trần Hưng Đạo,Quảng Nam
15.567701111111113,108.49060222222222,MBB,657,36,Đang dùng loa đối thủ,diem.pham4,Thành phố Tam Kỳ,,Đường Phan Châu Trinh,Quảng Nam
15.877108741721855,108.32734748344372,VTB,165,513,,vi.dinh,Thành phố Hội An,,Trần Phú,Quảng Nam
15.882101428571429,108.11909142857142,not defined or m2m,244,31,,,Huyện Đại Lộc,,Đường tỉnh 609,Quảng Nam
15.567839750000001,108.47773724999999,TPB,940,128,,vi.dinh,Thành phố Tam Kỳ,,Hùng Vương,Quảng Nam
15.565260588235294,108.47460823529413,TCB,876,91,Đang dùng loa đối thủ,diem.pham4,Thành phố Tam Kỳ,,Lý Thường Kiệt,Quảng Nam
15.566915714285715,108.47569857142857,ACB,557,31,Đang dùng loa đối thủ,diem.pham4,Thành phố Tam Kỳ,,Nguyễn Đình Chiểu,Quảng Nam
15.881591428571429,108.3284780952381,BIDV,530,54,,vi.dinh,Thành phố Hội An,,Thái Phiên,Quảng Nam
15.564333333333332,108.488616,MSB,686,52,,vi.dinh,Thành phố Tam Kỳ,,Đường Huỳnh Thúc Kháng,Quảng Nam
15.572000256410258,108.48435769230771,OCB,810,112,Dùng loa  đối thủ,diem.pham4,Thành phố Tam Kỳ,,Đường Lê Duẩn,Quảng Nam
15.560178947368421,108.50150894736842,TCB,122,57,,vi.dinh,Thành phố Tam Kỳ,,Đường Phan Châu Trinh,Quảng Nam
15.56654,108.47992083333335,TPB,763,31,,diem.pham4,Thành phố Tam Kỳ,,Đường Lê Duẩn,Quảng Nam
15.877919999999998,108.32303222222221,MBB,366,33,,hai.doan1,Thành phố Hội An,,Cao Hồng Lãnh,Quảng Nam
15.880450000000002,108.327802,VPB,165,34,,hai.doan1,Thành phố Hội An,,Trần Cao Vân,Quảng Nam
15.878058936170209,108.32702308510639,VCB,532,352,,vi.dinh,Thành phố Hội An,,Hai Bà Trưng,Quảng Nam
15.877685454545455,108.32084454545453,TCB,286,31,,hai.doan1,Thành phố Hội An,,Đường 18 Tháng 8,Quảng Nam
15.852400000000001,108.27591899999999,AGRIBANK,289,46,,vi.dinh,Huyện Duy Xuyên,,Đường Nguyễn Hoàng,Quảng Nam
15.926188421052633,108.23071,KLB,1,56,,vi.dinh,Thị xã Điện Bàn,,Đường Hùng Vương,Quảng Nam
15.880450000000002,108.327802,VPB,165,34,,vi.dinh,Thành phố Hội An,,Trần Cao Vân,Quảng Nam
15.889762999999999,108.24869299999999,VTB,AX4,111,,hung.bui5,Thị xã Điện Bàn,,Đường Trần Nhân Tông,Quảng Nam
15.885534000000002,108.251932,KLB,y34,32,Khách đã có loa không có nhu cầu bắt thêm,hung.bui5,Thị xã Điện Bàn,,Duy Tân,Quảng Nam
15.942692307692308,108.25448384615385,BIDV,956,39,,vi.dinh,Thị xã Điện Bàn,,Đường Trần Hưng Đạo,Quảng Nam
15.881963333333333,108.32801444444443,VCB,567,58,,vi.dinh,Thành phố Hội An,,Trần Cao Vân,Quảng Nam
15.935370555555556,108.2549711111111,VCB,764,56,,hung.bui5,Thị xã Điện Bàn,,Đường số 5,Quảng Nam
15.566879333333331,108.475729,OCB,558,78,Đang dùng loa đối thủ,diem.pham4,Thành phố Tam Kỳ,,Nguyễn Đình Chiểu,Quảng Nam
15.882498529411766,108.33303205882352,SACOM,529,71,,vi.dinh,Thành phố Hội An,,Lý Thường Kiệt,Quảng Nam
15.82441230769231,108.23941846153846,VPB,132,43,,vi.dinh,Huyện Duy Xuyên,,Quốc lộ 14H,Quảng Nam
15.938391249999999,108.254504375,VCCB,252,44,,hung.bui5,Thị xã Điện Bàn,,Đường Trần Hưng Đạo,Quảng Nam
15.891063333333335,108.31394055555558,TCB,828,70,,hai.doan1,Thành phố Hội An,,Nguyễn Tất Thành,Quảng Nam
15.895209333333334,108.244868,VCB,83,50,,hung.bui5,Thị xã Điện Bàn,,Nguyễn Duy Hiệu,Quảng Nam
