lat,lng,bank,tail3,trans,note,pic,district,ward,street,province
11.124782999999999,106.332611,AGRIBANK,717,26,,,Huyện Gò Dầu,,Đương Nông Trường,Tây Ninh
11.048472,106.35303999999998,VIB,933,23,,,Thị xã Trảng Bàng,,Đường Tỉnh 782,Tây Ninh
11.268828333333333,106.15001833333334,VIB,987,25,,,Thị xã Hòa Thành,,Trịnh Phong Đáng,Tây Ninh
11.080753333333334,106.26925666666668,MBB,3no,17,,,Huyện Gò Dầu,,Quốc lộ 22,Tây Ninh
11.446711666666667,106.02927833333332,HDB,105,13,,,Huyện Tân Biên,,Quốc lộ 22B,Tây Ninh
11.55954,106.16311999999999,ABB,123,18,,,Huyện Tân Châu,,Trần Văn Trà,Tây Ninh
11.30833,106.11618,VIB,270,23,,,Thành phố Tây Ninh,,Cách Mạng Tháng Tám,Tây Ninh
11.032451111111113,106.34855555555556,VCB,155,21,,,Thị xã Trảng Bàng,,Đường Nguyễn Du,Tây Ninh
11.2944725,106.11691125,VTB,299,19,,,Thị xã Hòa Thành,,Châu Văn Liêm,Tây Ninh
11.089504999999999,106.38359499999999,VTB,F11,15,,,Thị xã Trảng Bàng,,Đường Lộc Phước,Tây Ninh
11.305223333333334,106.13214666666667,TCB,388,15,,,Thị xã Hòa Thành,,Cách Mạng Tháng Tám,Tây Ninh
11.303118000000001,106.104386,ACB,367,12,,,Thành phố Tây Ninh,,Võ Thị Sáu,Tây Ninh
11.291525,106.1290325,VTB,69,10,,,Thị xã Hòa Thành,,Đường Hùng Vương,Tây Ninh
11.547572352941176,106.16017647058824,MBB,915,26,,,Huyện Tân Châu,,Tôn Đức Thắng,Tây Ninh
11.308440000000001,106.11610666666667,VIB,270,23,,,Thành phố Tây Ninh,,Cách Mạng Tháng Tám,Tây Ninh
11.169983333333334,106.20978000000001,TCB,16,23,,,Huyện Gò Dầu,,Quốc lộ 22B,Tây Ninh
11.121535000000002,106.32529,AGRIBANK,649,15,,,Huyện Gò Dầu,,Đương Nông Trường,Tây Ninh
11.082944999999999,106.26585499999999,ACB,787,14,,,Huyện Gò Dầu,,Vòng xoay Gò Dầu,Tây Ninh
11.341695,106.190155,VTB,944,12,,,Huyện Dương Minh Châu,,Đường tỉnh 781,Tây Ninh
11.334055,106.083755,SACOM,441,11,,,Thành phố Tây Ninh,,Trần Văn Trà,Tây Ninh
11.036669999999999,106.35901399999999,VTB,755,11,,,Thị xã Trảng Bàng,,Nguyễn Văn Rốp,Tây Ninh
11.30269,106.10367333333333,TCB,1,12,,,Thành phố Tây Ninh,,Hoàng Lê Kha,Tây Ninh
11.29918,106.10916,MBB,202,13,,,Thành phố Tây Ninh,,Võ Thị Sáu,Tây Ninh
11.324446666666667,106.10975333333333,TCB,522,11,,,Thành phố Tây Ninh,,Nguyễn Chí Thanh,Tây Ninh
11.288294444444444,106.12706111111112,MBB,506,26,,,Thị xã Hòa Thành,,Lý Thường Kiệt,Tây Ninh
11.290320000000001,106.0846825,VTB,363,17,,,Huyện Châu Thành,,Đường tỉnh 786,Tây Ninh
11.380276,106.22491000000001,MBB,413,24,,,Huyện Dương Minh Châu,,Đường Cù Chính Lan,Tây Ninh
11.30791,106.18276,MBB,479,19,,,Huyện Dương Minh Châu,,Đường tỉnh 784,Tây Ninh
11.283822727272728,105.99577363636364,MBB,211,22,,,Huyện Châu Thành,,Đường tỉnh 796,Tây Ninh
11.312815,106.09657,MBB,192,12,,,Thành phố Tây Ninh,,Trần Quốc Toản,Tây Ninh
11.553395,106.15913750000001,MBB,892,12,,,Huyện Tân Châu,,Nguyễn Đình Chiểu,Tây Ninh
11.08732642857143,106.271245,NAB,2,24,,,Huyện Gò Dầu,,Hùng Vương,Tây Ninh
11.083852857142858,106.26701285714284,MBB,30,24,,,Huyện Gò Dầu,,Hùng Vương,Tây Ninh
11.291321250000001,106.12839,TCB,672,17,,,Thị xã Hòa Thành,,Đường số 2 Đỗ Thị Tặng,Tây Ninh
11.377820000000002,106.21996666666665,VTB,411,18,,,Huyện Dương Minh Châu,,Đường tỉnh 781,Tây Ninh
11.316576666666666,106.09984333333334,TCB,824,13,,,Thành phố Tây Ninh,,Phạm Tung,Tây Ninh
11.0845825,106.26814999999999,BIDV,850,11,,,Huyện Gò Dầu,,Hùng Vương,Tây Ninh
11.38035875,106.2286,AGRIBANK,258,21,,,Huyện Dương Minh Châu,,Đường Nguyễn Bình,Tây Ninh
11.0169475,106.4050125,SACOM,593,10,,,Thị xã Trảng Bàng,,Suối Sâu 2,Tây Ninh
11.553778000000001,106.154174,MBB,807,18,,,Huyện Tân Châu,,Nguyễn Thị Định,Tây Ninh
11.03049,106.35584499999999,MBB,468,16,,,Thị xã Trảng Bàng,,đường sau Siêu thị Co.op mart,Tây Ninh
11.321871666666668,106.11006416666667,MBB,818,27,,,Thành phố Tây Ninh,,Trường Chinh,Tây Ninh
11.286429166666665,106.13245,MBB,214,29,,,Thị xã Hòa Thành,,Nguyễn Văn Linh,Tây Ninh
11.308302000000001,106.097786,SACOM,1,23,,,Thành phố Tây Ninh,,Ba Mươi Tháng Tư,Tây Ninh
11.132758888888889,106.12527777777778,HDB,134,27,,,Huyện Bến Cầu,,Đường tỉnh 786,Tây Ninh
11.1276725,106.2503025,VCB,888,15,,,Huyện Gò Dầu,,Quốc lộ 22B,Tây Ninh
11.12129,106.32473999999999,TCB,14,16,,,Huyện Gò Dầu,,Đương Nông Trường,Tây Ninh
11.306151111111111,106.12640111111112,MBB,416,29,,,Thành phố Tây Ninh,,Cách Mạng Tháng Tám,Tây Ninh
11.5536475,106.161355,MBB,868,23,,,Huyện Tân Châu,,Nguyễn Thị Định,Tây Ninh
11.338192727272729,106.11549909090908,VCB,723,29,,,Thành phố Tây Ninh,,Đường Số 30,Tây Ninh
11.299673333333333,106.10867,TCB,939,11,,,Thành phố Tây Ninh,,Võ Thị Sáu,Tây Ninh
11.293387777777777,106.11518777777778,VPB,920,25,,,Thị xã Hòa Thành,,Phạm Văn Đồng,Tây Ninh
11.305455000000002,106.1285375,VIB,353,19,,,Thành phố Tây Ninh,,Cách Mạng Tháng Tám,Tây Ninh
11.312152727272728,106.10312727272728,TCB,490,28,,,Thành phố Tây Ninh,,Nguyễn Chí Thanh,Tây Ninh
11.30314,106.1044175,SACOM,646,11,,,Thành phố Tây Ninh,,Võ Thị Sáu,Tây Ninh
11.298925714285714,106.12191428571428,VTB,182,17,,,Thành phố Tây Ninh,,Lạc Long Quân,Tây Ninh
11.02636,106.38306,MBB,578,13,,,Thị xã Trảng Bàng,,Quốc lộ 22,Tây Ninh
11.341142,106.159748,TCB,472,16,,,Thành phố Tây Ninh,,Đường tỉnh 784,Tây Ninh
11.258610000000001,106.13802,MBB,636,15,,,Thị xã Hòa Thành,,Ngô Quyền,Tây Ninh
11.038692222222222,106.32605777777778,VTB,651,29,,,Thị xã Trảng Bàng,,Đường Bình Thủy,Tây Ninh
11.322395,106.10944,VPB,7V1,17,,,Thành phố Tây Ninh,,Trường Chinh,Tây Ninh
11.29885,106.10958333333333,VCB,223,16,,,Thành phố Tây Ninh,,Võ Thị Sáu,Tây Ninh
11.632959999999999,106.19837999999999,VTB,94,25,,,Huyện Tân Châu,,Đường tỉnh 785,Tây Ninh
11.252770000000002,106.28535875,ACB,409,24,,,Huyện Dương Minh Châu,,Đường tỉnh 789B,Tây Ninh
11.322494,106.109034,TCB,139,14,,,Thành phố Tây Ninh,,Trường Chinh,Tây Ninh
11.287303076923077,106.1299176923077,MBB,175,22,,,Thị xã Hòa Thành,,Đường Đỗ Thị Tặng,Tây Ninh
11.029,106.3252,SACOM,13,19,,,Thị xã Trảng Bàng,,Nguyễn Du,Tây Ninh
11.31987,106.10238799999999,VIB,799,20,,,Thành phố Tây Ninh,,Trương Tùng Quân,Tây Ninh
11.308735714285714,106.11278142857144,MBB,858,22,,,Thành phố Tây Ninh,,Cách Mạng Tháng Tám,Tây Ninh
11.213611428571429,106.27683857142857,VTB,192,20,,,Huyện Dương Minh Châu,,Đường tỉnh 784,Tây Ninh
11.3002625,106.1279375,SACOM,87,18,,,Thị xã Hòa Thành,,Lý Thường Kiệt,Tây Ninh
