lat,lng,bank,tail3,trans,note,pic,district,ward,street,province
20.389194666666668,106.43377933333333,PVCOM,916,46,Cửa hàng đã có loa,long.vu1,Huyện Kiến Xương,,Đường Trần Nhân Tông,Thái Bình
20.441094210526316,106.3433805263158,VTB,60,45,,long.vu1,Thành phố Thái Bình,,Ngô Quyền,Thái Bình
20.446212941176469,106.34563529411766,MBB,116,47,,nghia.pham2,Thành phố Thái Bình,,Lê Quý Đôn,Thái Bình
20.559949166666666,106.56623833333332,VTB,575,35,Không có loa thực tế,nghia.pham2,Huyện Thái Thụy,,Đường 3 Tháng 2,Thái Bình
20.435336753246752,106.33191558441557,TCB,470,237,,long.vu1,Thành phố Thái Bình,,Phan Bá Vành,Thái Bình
20.438418333333335,106.3253825,VCB,962,56,Khách hàng không có nhu cầu,cuong.tran3,Thành phố Thái Bình,,Lý Thái Tổ,Thái Bình
20.41536125,106.37625625,BIDV,NW9,32,Cây xăng,long.vu1,Huyện Kiến Xương,,Đường tỉnh 458,Thái Bình
20.624928181818184,106.15050000000001,MBB,635,51,Không có thiết bị loa,nghia.pham2,Huyện Hưng Hà,,Đường Ngự Thiên,Thái Bình
20.654711,106.32223,MBB,689,31,Không có thực têa,nghia.pham2,Huyện Quỳnh Phụ,,Phố Nguyễn Công Trứ,Thái Bình
20.438767777777773,106.32942944444444,MBB,409,59,Khách hàng không có nhu cầu,cuong.tran3,Thành phố Thái Bình,,Lý Thái Tổ,Thái Bình
20.434887500000002,106.32592249999999,BIDV,K30,41,Khách không có nhu cầu,nghia.pham2,Thành phố Thái Bình,,Đường Số 13,Thái Bình
20.435537222222226,106.3262538888889,TCB,279,65,Không tồn tại,nghia.pham2,Thành phố Thái Bình,,Đường Số 7,Thái Bình
20.44866882352941,106.33834999999999,TCB,881,34,Cửa hàng đã có loa không muốn lắp thêm,long.vu1,Thành phố Thái Bình,,Trần Nhân Tông,Thái Bình
20.445539545454551,106.34505272727272,MBB,978,49,Khách không có nhu cầu,nghia.pham2,Thành phố Thái Bình,,Lê Quý Đôn,Thái Bình
20.405131111111114,106.50372444444444,VTB,999,33,Khách hàng không có nhu cầu,cuong.tran3,Huyện Tiền Hải,,Phố Tiểu Hoàng,Thái Bình
20.444317666666667,106.34340400000004,TCB,20,88,,long.vu1,Thành phố Thái Bình,,Phố Kỳ Bá,Thái Bình
20.447465000000005,106.34390928571428,BIDV,CE3,34,,nghia.pham2,Thành phố Thái Bình,,Lê Quý Đôn,Thái Bình
20.448352222222219,106.34648166666666,OCB,5,45,Khách hàng không có nhu cầu,cuong.tran3,Thành phố Thái Bình,,Lý Thái Tổ,Thái Bình
20.440434615384614,106.3397623076923,VTB,833,33,Khách hàng khôg có nhu cầu,cuong.tran3,Thành phố Thái Bình,,Lý Bôn,Thái Bình
20.438303333333334,106.32478199999998,TCB,124,40,Khách hàng không có nhu cầu,cuong.tran3,Thành phố Thái Bình,,Lý Thái Tổ,Thái Bình
20.65812,106.32724214285714,HDB,26,51,Không có nhu cầu,nghia.pham2,Huyện Quỳnh Phụ,,Đường Đào Đình Luyện,Thái Bình
20.564491764705881,106.51026352941177,HDB,43,137,Không gặp chủ cửa hàng,nghia.pham2,Huyện Thái Thụy,,Đường tỉnh 456,Thái Bình
20.436435217391303,106.32434521739133,TCB,855,67,Không có nhu cầu mua thiết bị,nghia.pham2,Thành phố Thái Bình,,Chu Văn An,Thái Bình
20.40486,106.38210000000001,BIDV,390,48,Cửa hàng đóng cửa,long.vu1,Huyện Kiến Xương,,Đường tỉnh 458,Thái Bình
