lat,lng,bank,tail3,trans,note,pic,district,ward,street,province
19.795382,105.792738,TCB,787,30,,vu.le3,Thành phố Thanh Hóa,,Đường Lê Lai,Thanh Hóa
19.443440000000002,105.78231307692309,not defined or m2m,1,31,,,Thị Xã Nghi Sơn,,Đường Lương Chí,Thanh Hóa
19.772170000000003,105.77564214285714,MBB,426,38,,thuan.ha,Thành phố Thanh Hóa,,Đường Quang Trung,Thanh Hóa
19.932903333333329,105.952056,OCB,233,63,,,Huyện Hậu Lộc,,Đường tỉnh 526,Thanh Hóa
19.795376,105.79289899999999,BIDV,869,77,,vu.le3,Thành phố Thanh Hóa,,Đường Lê Lai,Thanh Hóa
19.779381111111107,105.77087,ACB,102,38,,thuan.ha,Thành phố Thanh Hóa,,Đường Ngô Thuyền,Thanh Hóa
20.008856666666667,105.70489666666666,MBB,853,32,,,Huyện Vĩnh Lộc,,Quốc lộ 217,Thanh Hóa
19.801392142857146,105.77926357142859,TCB,758,30,,thuan.ha,Thành phố Thanh Hóa,,Đào Duy Từ,Thanh Hóa
19.835830769230771,105.77161846153847,BIDV,396,38,,vu.le3,Thành phố Thanh Hóa,,Đường Đình Hương,Thanh Hóa
19.812791818181818,105.76934,not defined or m2m,744,30,kh không có nhu cầu,vu.le3,Thành phố Thanh Hóa,,Phố Phan Chu Trinh,Thanh Hóa
19.74387294117647,105.90235588235295,VPB,868,98,,vu.le3,Thành phố Sầm Sơn,,Đường Thanh Niên,Thanh Hóa
19.819195,105.774910625,TCB,602,49,kh đã có loa thông báo bên bank,vu.le3,Thành phố Thanh Hóa,,Đường Bà Triệu,Thanh Hóa
19.768475384615385,105.78246999999999,TCB,798,96,,thuan.ha,Thành phố Thanh Hóa,,Đường Chi Lăng,Thanh Hóa
20.024804210526316,105.58951526315791,VCB,501,60,,,Huyện Yên Định,,Quốc lộ 45,Thanh Hóa
19.795017857142856,105.78344285714286,VTB,EE0,42,Không có nhu cầu,thuan.ha,Thành phố Thanh Hóa,,Đường Lạc Long Quân,Thanh Hóa
20.151185555555557,105.24190777777777,MBB,381,40,,,Huyện Lang Chánh,,Đường Thanh Niên,Thanh Hóa
19.779822045454544,105.7757068181818,HDB,17,141,,thuan.ha,Thành phố Thanh Hóa,,Đường Quang Trung,Thanh Hóa
19.768004285714284,105.7829664285714,ACB,486,422,,thuan.ha,Thành phố Thanh Hóa,,Đường Chi Lăng,Thanh Hóa
20.017367,105.850595,VTB,857,51,,,Huyện Hà Trung,,Đường Hoà Bình,Thanh Hóa
19.800400714285708,105.77633035714284,TCB,915,80,,vu.le3,Thành phố Thanh Hóa,,Đường Trần Phú,Thanh Hóa
19.805909655172417,105.80272827586207,TCB,902,50,,vu.le3,Thành phố Thanh Hóa,,Đại lộ Nguyễn Hoàng,Thanh Hóa
19.787890625,105.77519687499999,VTB,799,41,kh đang cần tư vấn và hỏi ý kiến người nhà,vu.le3,Thành phố Thanh Hóa,,Đường Vệ Đà,Thanh Hóa
19.763180714285713,105.66418785714285,MBB,496,40,,,Huyện Triệu Sơn,,TL 517,Thanh Hóa
20.379718181818181,105.10891090909091,MBB,439,41,,,Huyện Quan Hóa,,Quốc lộ 15,Thanh Hóa
19.8035895,105.765521,MBB,4,47,kh là người già.,vu.le3,Thành phố Thanh Hóa,,Đường Nguyễn Trãi,Thanh Hóa
19.768482352941177,105.78237176470587,BIDV,283,42,Không lắp,thuan.ha,Thành phố Thanh Hóa,,Đường Chi Lăng,Thanh Hóa
19.482767142857139,105.61005285714286,MBB,432,33,,,Huyện Nông Cống,,Đường tỉnh 505,Thanh Hóa
19.765892068965517,105.7773522413793,MBB,888,182,,vu.le3,Thành phố Thanh Hóa,,Đường Bùi Sĩ Lâm,Thanh Hóa
19.750971764705881,105.84942235294118,ACB,957,36,Không tìm thấy quán,thuan.ha,Thành phố Thanh Hóa,,Đường An Dương Vương,Thanh Hóa
19.766028333333331,105.7950075,HDB,82,31,Không có nhu cầu,thuan.ha,Thành phố Thanh Hóa,,Đường Võ Nguyên Giáp,Thanh Hóa
19.768402352941173,105.78371117647059,MBB,979,42,,thuan.ha,Thành phố Thanh Hóa,,Đường Ngọc Mai,Thanh Hóa
19.930017500000005,105.951314375,MBB,236,59,,,Huyện Hậu Lộc,,Đường tỉnh 526,Thanh Hóa
19.8032246,105.76509539999998,MBB,684,172,kh dùng loa bên bank,vu.le3,Thành phố Thanh Hóa,,Đường Nguyễn Trãi,Thanh Hóa
19.785513333333331,105.77597958333332,TCB,838,60,,vu.le3,Thành phố Thanh Hóa,,Đường Nguyễn Phục,Thanh Hóa
19.807347692307694,105.77714923076924,ACB,617,57,kh không có nhu cầu,vu.le3,Thành phố Thanh Hóa,,Đại lộ Lê Lợi,Thanh Hóa
19.790564230769228,105.78497884615385,VPB,21,47,,thuan.ha,Thành phố Thanh Hóa,,Phố Lê Trang Tông,Thanh Hóa
19.779776923076923,105.77231153846154,MBB,714,40,,thuan.ha,Thành phố Thanh Hóa,,Phố Lê Huy Toán,Thanh Hóa
19.970924285714286,105.65213285714286,BIDV,163,41,,,Huyện Yên Định,,Đường 10 tháng 6,Thanh Hóa
19.802464999999998,105.77632700000002,BIDV,886,63,kh đã lắp loa bên bank,vu.le3,Thành phố Thanh Hóa,,Đường Trần Phú,Thanh Hóa
19.79601655172414,105.78277620689654,TPB,888,67,,thuan.ha,Thành phố Thanh Hóa,,Phố Phạm Vấn,Thanh Hóa
19.732571666666665,105.83658333333334,VTB,886,30,Khách đã có loa,thuan.ha,Thành phố Sầm Sơn,,Hoàng Quốc Việt,Thanh Hóa
19.767838947368418,105.78322789473684,VCB,678,51,,thuan.ha,Thành phố Thanh Hóa,,Đường Ngọc Mai,Thanh Hóa
19.77907,105.77260555555556,TPB,888,43,,thuan.ha,Thành phố Thanh Hóa,,Đường Hải Thượng Lãn Ông,Thanh Hóa
19.764726000000003,105.776848,not defined or m2m,468,43,Chuyển cơ sở,thuan.ha,Thành phố Thanh Hóa,,Đường Quang Trung,Thanh Hóa
19.733389166666669,105.8367775,VIB,888,32,Khách chưa có nhu cầu sử dụng,thuan.ha,Thành phố Sầm Sơn,,Hoàng Quốc Việt,Thanh Hóa
19.768040750000004,105.78298949999999,TCB,27,184,,thuan.ha,Thành phố Thanh Hóa,,Đường Chi Lăng,Thanh Hóa
19.737826666666667,105.83797897435895,VCB,219,88,Đã có loa do công ty lắp cho cây xăng,thuan.ha,Thành phố Thanh Hóa,,Đường Nguyễn Doãn Chấp,Thanh Hóa
19.911998999999998,105.405009,SACOM,971,33,,,Huyện Thọ Xuân,,Phố Lê Khôi,Thanh Hóa
19.78075125,105.7736603125,VTB,886,105,,thuan.ha,Thành phố Thanh Hóa,,Đường Hải Thượng Lãn Ông,Thanh Hóa
19.759377272727274,105.77773363636364,TCB,527,38,,thuan.ha,Thành phố Thanh Hóa,,Đường Quang Trung,Thanh Hóa
19.794581538461539,105.79396230769233,AGRIBANK,AD5,40,khách hàng là người già,vu.le3,Thành phố Thanh Hóa,,Đường Lê Lai,Thanh Hóa
19.752307142857145,105.8958,VPB,181,81,kh lắp loa. cách 20m. sử dụng vp bank,vu.le3,Thành phố Sầm Sơn,,Đường Trần Hưng Đạo,Thanh Hóa
19.847141999999998,105.905507,TCB,986,30,,,Huyện Hoằng Hóa,,Đường vào Khu du lịch sinh thái Hải Tiến,Thanh Hóa
19.815654166666668,105.77766416666667,TCB,428,37,,vu.le3,Thành phố Thanh Hóa,,Ngõ 76 Nguyễn Trường Tộ,Thanh Hóa
19.675334999999997,105.81969333333333,PVCOM,792,34,kh đã có loa bên bank,vu.le3,Huyện Quảng Xương,,Đường tỉnh 511,Thanh Hóa
19.6755,105.79313205882353,TCB,622,123,Khách có loa rồi,thuan.ha,Huyện Quảng Xương,,Quốc lộ 1,Thanh Hóa
19.804145333333334,105.79002466666665,VIB,588,35,,vu.le3,Thành phố Thanh Hóa,,Phố Phạm Văn Xảo,Thanh Hóa
19.8174175,105.78283312499998,not defined or m2m,457,36,,vu.le3,Thành phố Thanh Hóa,,Đường Đội Cung,Thanh Hóa
19.829712727272724,105.78343136363635,VTB,429,58,,vu.le3,Thành phố Thanh Hóa,,Đại lộ Hùng Vương,Thanh Hóa
19.8173775,105.60775500000001,VCB,999,33,,,Huyện Triệu Sơn,,Đường Triệu Quốc Đạt,Thanh Hóa
20.09125,105.8755735,HDB,86,47,,,Thị xã Bỉm Sơn,,Đường Trần Hưng Đạo,Thanh Hóa
20.009769285714281,105.57257357142858,VPB,164,46,,,Huyện Yên Định,,Quốc lộ 47B,Thanh Hóa
20.147974545454545,105.73442090909091,VTB,146,51,,,Huyện Thạch Thành,,Đường Nguyễn Hoàng,Thanh Hóa
19.644167777777778,105.57873555555555,ACB,666,36,,,Huyện Như Thanh,,Đường Lê Thái Tổ,Thanh Hóa
20.378825384615386,105.1089976923077,AGRIBANK,937,43,,,Huyện Quan Hóa,,Quốc lộ 15,Thanh Hóa
19.76579608695652,105.77746608695652,TCB,17,87,,vu.le3,Thành phố Thanh Hóa,,Đường Bùi Sĩ Lâm,Thanh Hóa
20.00624,105.97431299999998,TPB,500,39,,,Huyện Nga Sơn,,Đường Hưng Long,Thanh Hóa
19.801139090909096,105.77982999999999,MBB,836,52,,thuan.ha,Thành phố Thanh Hóa,,Phố Minh Hiệu,Thanh Hóa
19.76878657894737,105.77601368421053,MBB,937,114,,thuan.ha,Thành phố Thanh Hóa,,Đường Quang Trung,Thanh Hóa
19.863413846153843,105.67149307692308,MBB,682,40,,,Huyện Thiệu Hóa,,Đường tỉnh 515,Thanh Hóa
19.710029166666668,105.79134583333334,MBB,874,41,,vu.le3,Huyện Quảng Xương,,Phố Đỗ Xuân Diễn,Thanh Hóa
19.98160125,105.64280625,VCB,609,30,,,Huyện Yên Định,,Đường 10 tháng 6,Thanh Hóa
19.816783750000003,105.78381499999999,BIDV,437,45,,vu.le3,Thành phố Thanh Hóa,,Đường Trường Thi,Thanh Hóa
19.6994475,105.785485,TCB,456,83,Không thấy điểm,thuan.ha,Huyện Quảng Xương,,Quốc lộ 1,Thanh Hóa
19.810170967741936,105.78003741935483,VTB,23,69,,vu.le3,Thành phố Thanh Hóa,,Đường Lê Hoàn,Thanh Hóa
19.81279,105.771463,TCB,559,34,,vu.le3,Thành phố Thanh Hóa,,Đường Lý Nhân Tông,Thanh Hóa
19.451802608695655,105.77650260869567,not defined or m2m,322,61,,,Thị Xã Nghi Sơn,,Đường Nguyễn Văn Trỗi,Thanh Hóa
19.816034285714288,105.77746214285716,VPB,970,82,,vu.le3,Thành phố Thanh Hóa,,Chu Văn An,Thanh Hóa
19.908713529411759,105.80184352941177,TCB,627,58,,,Huyện Hoằng Hóa,,Đường nối Quốc lộ 1 với Quốc lộ 45,Thanh Hóa
19.768501764705885,105.78236647058824,PVCOM,531,51,Chuyển cơ sở,thuan.ha,Thành phố Thanh Hóa,,Đường Chi Lăng,Thanh Hóa
19.780364374999994,105.77105,VCB,601,43,,thuan.ha,Thành phố Thanh Hóa,,Đường Ngô Thuyền,Thanh Hóa
20.008224000000002,105.97249,BIDV,106,33,,,Huyện Nga Sơn,,Đường Trịnh Minh,Thanh Hóa
19.770182173913039,105.7845656521739,VCB,230,78,,thuan.ha,Thành phố Thanh Hóa,,Đường Ngọc Mai,Thanh Hóa
19.765671666666666,105.77682083333333,MBB,754,37,,thuan.ha,Thành phố Thanh Hóa,,Đường Quang Trung,Thanh Hóa
20.084973952095808,105.85977922155688,not defined or m2m,645,556,,,Thị xã Bỉm Sơn,,Đường Trần Phú,Thanh Hóa
19.768106363636367,105.78346363636362,BIDV,361,50,,thuan.ha,Thành phố Thanh Hóa,,Đường Ngọc Mai,Thanh Hóa
20.29775153846154,105.29996846153847,MBB,626,35,,,Huyện Bá Thước,,Quốc lộ 217,Thanh Hóa
19.81616375,105.78475999999999,TCB,744,32,kh đang tìm hiểu và cần tư vấn thêm,vu.le3,Thành phố Thanh Hóa,,Đình Giáp Đông,Thanh Hóa
19.687922368421049,105.78776052631578,MBB,504,185,Khách đã có loa,thuan.ha,Huyện Quảng Xương,,Quốc lộ 1,Thanh Hóa
19.829577777777779,105.67098444444446,TCB,671,30,kh không có nhà,vu.le3,Huyện Đông Sơn,,Quốc lộ 47, Đông Thanh,Thanh Hóa
20.124195454545454,105.76792454545455,VTB,888,38,,,Huyện Thạch Thành,,Quốc lộ 217B,Thanh Hóa
19.910912142857139,105.40459071428572,MBB,178,34,,,Huyện Thọ Xuân,,Đường Lê Lai,Thanh Hóa
19.778034583333326,105.77503416666664,MBB,573,42,,thuan.ha,Thành phố Thanh Hóa,,Đường Quang Trung,Thanh Hóa
19.826718,105.798296,VTB,E01,43,không tìm thấy,vu.le3,Thành phố Thanh Hóa,,Ngõ Nam Đông,Thanh Hóa
19.934930833333333,105.952945,MBB,812,35,,,Huyện Hậu Lộc,,Đường tỉnh 526,Thanh Hóa
19.76880523809524,105.77582428571428,VIB,348,60,,thuan.ha,Thành phố Thanh Hóa,,Đường Quang Trung,Thanh Hóa
19.785571538461536,105.77541,MBB,812,35,kh dùng ngân hàng không nằm trong hệ thống coop bank,vu.le3,Thành phố Thanh Hóa,,Đường Nguyễn Phục,Thanh Hóa
19.790374,105.777622,VCB,356,30,kh đã có loa của bank,vu.le3,Thành phố Thanh Hóa,,Đường Lê Thần Tông,Thanh Hóa
19.76796836363636,105.78301490909091,MBB,365,212,,thuan.ha,Thành phố Thanh Hóa,,Đường Chi Lăng,Thanh Hóa
19.973468285714286,105.64840714285715,VCB,983,86,,,Huyện Yên Định,,Đường 10 tháng 6,Thanh Hóa
19.799408,105.779282,VPB,38,34,Không tồn tại,thuan.ha,Thành phố Thanh Hóa,,Tân An 1,Thanh Hóa
19.740793846153846,105.7835030769231,TCB,514,33,,vu.le3,Huyện Quảng Xương,,Đường Đặng Huy Trứ,Thanh Hóa
19.7988025,105.79136166666666,TCB,527,52,kh đã có loa bên bank,vu.le3,Thành phố Thanh Hóa,,Ngõ 198 Le Lat Đường Lê Lai,Thanh Hóa
20.012413333333335,105.85383000000002,AGRIBANK,0D6,31,,,Huyện Hà Trung,,Đường Nguyễn Thị Minh Khai,Thanh Hóa
19.785519714285716,105.79026771428573,TCB,10,80,Đã thay đổi quán,thuan.ha,Thành phố Thanh Hóa,,Đường Trịnh Kiểm,Thanh Hóa
19.768467560975608,105.78243439024389,TCB,454,119,,thuan.ha,Thành phố Thanh Hóa,,Đường Chi Lăng,Thanh Hóa
19.69474833333333,105.66773416666666,MBB,998,45,,,Huyện Nông Cống,,Đường cao tốc Quốc lộ 45 - Nghi Sơn,Thanh Hóa
19.798152142857145,105.77640214285714,MBB,45,37,Không lắp,thuan.ha,Thành phố Thanh Hóa,,Đường Quang Trung,Thanh Hóa
19.798516000000003,105.782496,TCB,262,30,Khách chưa có nhu cầu,thuan.ha,Thành phố Thanh Hóa,,Phố Phạm Vấn,Thanh Hóa
19.778585714285718,105.7724,VTB,960,30,,thuan.ha,Thành phố Thanh Hóa,,Đường Hải Thượng Lãn Ông,Thanh Hóa
19.78045375,105.773555625,BIDV,508,45,,thuan.ha,Thành phố Thanh Hóa,,Đường Hải Thượng Lãn Ông,Thanh Hóa
19.807505555555554,105.76121666666666,ACB,218,34,kh là người già không dùng dt thông minh,vu.le3,Thành phố Thanh Hóa,,Đường Nguyễn Trãi,Thanh Hóa
19.776569333333331,105.76804066666665,ACB,682,41,Khách có 2 loa rồi,thuan.ha,Thành phố Thanh Hóa,,Đường Trịnh Kiểm,Thanh Hóa
19.807346000000003,105.77970466666666,AGRIBANK,994,35,,vu.le3,Thành phố Thanh Hóa,,Đại lộ Lê Lợi,Thanh Hóa
19.778617000000004,105.77232366666668,TCB,557,103,Không thấy địa điểm,thuan.ha,Thành phố Thanh Hóa,,Đường Hải Thượng Lãn Ông,Thanh Hóa
19.814574705882357,105.72270705882353,VCB,887,31,kh không sử dụng dt thông minh,vu.le3,Huyện Đông Sơn,,Đường Nguyễn Nhữ Soạn,Thanh Hóa
19.768198181818178,105.78273159090909,TCB,764,173,Không lắp,thuan.ha,Thành phố Thanh Hóa,,Đường Chi Lăng,Thanh Hóa
19.776952857142856,105.77149285714286,TCB,650,30,Đã có 2 loa,thuan.ha,Thành phố Thanh Hóa,,Đường Hải Thượng Lãn Ông,Thanh Hóa
19.813840188679247,105.77689018867925,HDB,22,171,kh đã có loa chuyển khoản bên bank,vu.le3,Thành phố Thanh Hóa,,Phố Nhà Thờ,Thanh Hóa
19.768891666666669,105.77599555555555,VPB,9F3,100,Không dùng loa,thuan.ha,Thành phố Thanh Hóa,,Đường Quang Trung,Thanh Hóa
19.769138125,105.77613687499999,TCB,915,35,,thuan.ha,Thành phố Thanh Hóa,,Đường Quang Trung,Thanh Hóa
20.03885,105.49617692307693,not defined or m2m,12,37,,,Huyện Yên Định,,Phố Nguyễn Văn Huyên,Thanh Hóa
19.778485000000003,105.77231583333332,VTB,343,48,Không lắp loa,thuan.ha,Thành phố Thanh Hóa,,Đường Hải Thượng Lãn Ông,Thanh Hóa
19.804069444444444,105.79011444444444,VTB,688,43,,vu.le3,Thành phố Thanh Hóa,,Phố Phạm Văn Xảo,Thanh Hóa
19.36619769230769,105.7049823076923,MSB,554,47,,,Thị Xã Nghi Sơn,,Đường Lê Lai,Thanh Hóa
20.012845833333333,105.69672249999999,VCB,538,42,,,Huyện Vĩnh Lộc,,Quốc lộ 217,Thanh Hóa
19.776043684210528,105.78100263157894,TCB,940,54,,thuan.ha,Thành phố Thanh Hóa,,Đường Trịnh Kiểm,Thanh Hóa
19.812591428571427,105.76927571428571,VCB,560,35,kh đã dùng loa của bank,vu.le3,Thành phố Thanh Hóa,,Hồ Xuân Hương,Thanh Hóa
20.070674,105.893012,VTB,555,30,,,Thị xã Bỉm Sơn,,Đường Lê Lợi,Thanh Hóa
19.8161004,105.7830104,TCB,55,46,,vu.le3,Thành phố Thanh Hóa,,Đường Trường Thi,Thanh Hóa
19.76798,105.7829925,TCB,939,39,Đã có loa,thuan.ha,Thành phố Thanh Hóa,,Đường Chi Lăng,Thanh Hóa
19.766530909090903,105.77662000000001,BIDV,623,37,,thuan.ha,Thành phố Thanh Hóa,,Đường Quang Trung,Thanh Hóa
19.929981363636362,105.95131681818182,VTB,89,57,,,Huyện Hậu Lộc,,Đường tỉnh 526,Thanh Hóa
19.778500000000005,105.77058000000001,TCB,145,60,,thuan.ha,Thành phố Thanh Hóa,,Đường Ngô Thuyền,Thanh Hóa
19.78233,105.75965099999999,TCB,27,30,,thuan.ha,Thành phố Thanh Hóa,,Đường Trịnh Kiểm,Thanh Hóa
19.80821125,105.77688062500002,AGRIBANK,09E,61,kh đã dùng loa tb của bank,vu.le3,Thành phố Thanh Hóa,,Đường Trần Phú,Thanh Hóa
20.089446875,105.37425749999998,not defined or m2m,449,61,,,Huyện Ngọc Lặc,,Đường Hồ Chí Minh,Thanh Hóa
19.973213333333334,105.64812888888889,VPB,851,30,,,Huyện Yên Định,,Phố Lê Đình Kiên,Thanh Hóa
19.788915333333335,105.78397466666667,TCB,612,34,,thuan.ha,Thành phố Thanh Hóa,,Đường Nguyễn Công Trứ,Thanh Hóa
19.44305470588235,105.77686529411764,HDB,54,46,,,Thị Xã Nghi Sơn,,Đường Tây Sơn,Thanh Hóa
19.733381111111107,105.89671249999998,VTB,SA0,88,Đã cho thuê nhà kèm hình ảnh cửa hàng cho thuê,thuan.ha,Thành phố Sầm Sơn,,Đường Lê Lợi,Thanh Hóa
19.79988105263158,105.77370526315791,VCB,729,32,Đã có loa,thuan.ha,Thành phố Thanh Hóa,,Lê Quý Đôn,Thanh Hóa
19.863450714285715,105.67149571428573,VTB,E01,46,,,Huyện Thiệu Hóa,,Đường tỉnh 515,Thanh Hóa
19.793857499999998,105.79457625,VIB,657,30,kh đang chờ con về và sẽ lh lại,vu.le3,Thành phố Thanh Hóa,,Đường Lê Lai,Thanh Hóa
19.814015,105.78053700000001,BVB,888,41,kh là người già nên không có nhu cầu lắp loa,vu.le3,Thành phố Thanh Hóa,,Đường Trường Thi,Thanh Hóa
19.768518333333336,105.78238916666668,BIDV,283,33,,thuan.ha,Thành phố Thanh Hóa,,Đường Chi Lăng,Thanh Hóa
19.740797777777775,105.89430999999999,MBB,641,56,Khách đang dùng loa MB chưa có nhu cầu dùng thay đổi,thuan.ha,Thành phố Sầm Sơn,,Đường Lý Tự Trọng,Thanh Hóa
