lat,lng,bank,tail3,trans,note,pic,district,ward,street,province
16.493201666666668,107.60992416666666,BIDV,320,31,,le.vo,Huyện Phú Vang,,Đường Nguyễn Đình Tứ,Thừa Thiên - Huế
16.457045454545458,107.60012318181816,VCB,308,67,,,Thành phố Huế,,Phan Đình Phùng,Thừa Thiên - Huế
16.452646590909087,107.59161318181818,BIDV,389,141,,thinh.nguyen13,Thành phố Huế,,Đường Trần Phú,Thừa Thiên - Huế
16.457321481481486,107.58506037037036,VTB,348,48,,le.vo,Thành phố Huế,,Nguyễn Huệ,Thừa Thiên - Huế
16.465361724137928,107.59735103448277,BIDV,810,73,,le.vo,Thành phố Huế,,Lê Quý Đôn,Thừa Thiên - Huế
16.45206111111111,107.54534,MBB,724,32,,le.vo,Thành phố Huế,,Nguyễn Phúc Nguyên,Thừa Thiên - Huế
16.456868095238097,107.59400238095239,AGRIBANK,180,73,,,Thành phố Huế,,Nguyễn Khuyến,Thừa Thiên - Huế
16.454703750000004,107.5811325,MBB,219,34,Đag cân nhắc,thinh.nguyen13,Thành phố Huế,,Điện Biên Phủ,Thừa Thiên - Huế
16.493980666666669,107.62576133333333,MBB,854,31,,le.vo,Huyện Phú Vang,,Tỉnh lộ 10A,Thừa Thiên - Huế
16.452086666666666,107.57398,BIDV,4V2,43,Đang cân nhắc,thinh.nguyen13,Thành phố Huế,,Đồng Khởi,Thừa Thiên - Huế
16.45312818181818,107.6005190909091,VCB,858,62,,hung.kieu,Thành phố Huế,,Ngự Bình,Thừa Thiên - Huế
16.452534749999995,107.58710050000003,BIDV,601,102,,,Thành phố Huế,,Đoàn Hữu Trưng,Thừa Thiên - Huế
16.448625188679241,107.6033804716981,BIDV,313,358,,tien.le8,Thành phố Huế,,Hồ Đắc Di,Thừa Thiên - Huế
16.451043999999996,107.60388,MBB,868,48,,hung.kieu,Thành phố Huế,,An Dương Vương,Thừa Thiên - Huế
16.453294727272727,107.58951090909092,BIDV,600,163,,le.vo,Thành phố Huế,,Hàm Nghi,Thừa Thiên - Huế
16.45815363636364,107.58234363636363,VIB,854,48,,le.vo,Thành phố Huế,,Trần Thúc Nhẫn,Thừa Thiên - Huế
16.382574242424244,107.70579212121213,SACOM,568,101,,,Thị xã Hương Thủy,,Quốc lộ 1 - Đường tránh TP. Huế,Thừa Thiên - Huế
16.452863636363642,107.60028181818181,TCB,214,82,,hung.kieu,Thành phố Huế,,Ngự Bình,Thừa Thiên - Huế
16.445959081632655,107.60180918367345,ABB,825,266,,le.vo,Thành phố Huế,,Nguyễn Khánh Toàn,Thừa Thiên - Huế
16.67294722222222,107.33373333333334,MBB,242,52,,,Huyện Phong Điền,,Quốc lộ 49B,Thừa Thiên - Huế
16.445036666666667,107.60083066666667,TCB,947,147,,le.vo,Thành phố Huế,,Nguyễn Khánh Toàn,Thừa Thiên - Huế
16.467849696969694,107.60041090909093,VTB,777,77,,le.vo,Thành phố Huế,,Văn Cao,Thừa Thiên - Huế
16.456146,107.593485,VTB,425,36,,,Thành phố Huế,,Phan Chu Trinh,Thừa Thiên - Huế
16.470526052631577,107.59888078947368,VCB,244,140,,,Thành phố Huế,,Nguyễn Công Trứ,Thừa Thiên - Huế
16.49258,107.57688727272729,BIDV,59,31,,le.vo,Thành phố Huế,,Tăng Bạt Hổ,Thừa Thiên - Huế
16.449563508771927,107.60349,MBB,870,124,,tien.le8,Thành phố Huế,,Hồ Đắc Di,Thừa Thiên - Huế
16.431441111111109,107.56678444444445,VCB,597,30,,le.vo,Thành phố Huế,,Đường Đoàn Nhữ Hải,Thừa Thiên - Huế
16.448639166666666,107.6033925,ACB,577,38,,le.vo,Thành phố Huế,,Hồ Đắc Di,Thừa Thiên - Huế
16.445322051282051,107.60271051282051,TCB,175,113,,tien.le8,Thành phố Huế,,Hồ Đắc Di,Thừa Thiên - Huế
16.445038846153846,107.58638038461538,VIB,430,74,,thinh.nguyen13,Thành phố Huế,,Kiệt 93 Đặng Huy Trứ,Thừa Thiên - Huế
16.463236874999996,107.60677062500001,VIB,776,55,,le.vo,Thành phố Huế,,Tố Hữu,Thừa Thiên - Huế
16.496325000000002,107.599117,VTB,886,48,,le.vo,Huyện Phú Vang,,Đường Gia Lạc,Thừa Thiên - Huế
16.466205416666664,107.57602854166669,VTB,F11,163,,,Thành phố Huế,,Lê Huân,Thừa Thiên - Huế
16.463184382022472,107.60814764044942,BIDV,736,174,,le.vo,Thành phố Huế,,Tố Hữu,Thừa Thiên - Huế
16.451476363636363,107.59885181818181,VTB,F11,46,,hung.kieu,Thành phố Huế,,Kiệt 43 Ngự Bình,Thừa Thiên - Huế
16.471970000000002,107.57504686274511,MBB,722,166,,le.vo,Thành phố Huế,,Đặng Thái Thân,Thừa Thiên - Huế
16.463725,107.58984062500001,SACOM,529,36,,,Thành phố Huế,,Hà Nội,Thừa Thiên - Huế
16.451674,107.55778933333335,BIDV,52,36,,thinh.nguyen13,Thành phố Huế,,Bùi Thị Xuân,Thừa Thiên - Huế
16.453104285714286,107.59088857142858,BIDV,632,48,,,Thành phố Huế,,Hàm Nghi,Thừa Thiên - Huế
16.412659411764704,107.67455058823529,MBB,916,55,,le.vo,Thị xã Hương Thủy,,Đường Nguyễn Khoa Văn,Thừa Thiên - Huế
16.469553561643838,107.57339246575343,VTB,F11,207,,le.vo,Thành phố Huế,,Lê Huân,Thừa Thiên - Huế
16.448406052631576,107.5863952631579,MBB,522,169,Ko có nhu cầu sd thêm,thinh.nguyen13,Thành phố Huế,,Đặng Huy Trứ,Thừa Thiên - Huế
16.464983176470589,107.59347905882355,BIDV,606,255,,hung.kieu,Thành phố Huế,,Hùng Vương,Thừa Thiên - Huế
16.453422800000002,107.588574,VTB,988,71,,,Thành phố Huế,,Hàm Nghi,Thừa Thiên - Huế
16.45952,107.59914454545454,MBB,868,78,,le.vo,Thành phố Huế,,Hùng Vương,Thừa Thiên - Huế
16.405439166666664,107.68149708333333,BIDV,752,72,,,Thị xã Hương Thủy,,Đường Nguyễn Tất Thành,Thừa Thiên - Huế
16.45669375,107.57815125,TCB,686,38,,thinh.nguyen13,Thành phố Huế,,Bùi Thị Xuân,Thừa Thiên - Huế
16.46462117647059,107.56238529411766,ABB,777,35,,,Th��nh phố Huế,,Phạm Thị Liên,Thừa Thiên - Huế
16.432667777777777,107.59241777777777,ACB,199,34,,le.vo,Thành phố Huế,,Lương Nhữ Hộc,Thừa Thiên - Huế
16.447705624999998,107.60316437499999,TCB,500,51,,tien.le8,Thành phố Huế,,Hồ Đắc Di,Thừa Thiên - Huế
16.476728412698417,107.58268206349206,VPB,455,156,,,Thành phố Huế,,Mai Thúc Loan,Thừa Thiên - Huế
16.456022413793104,107.58071086206897,VCB,775,134,,le.vo,Thành phố Huế,,Điện Biên Phủ,Thừa Thiên - Huế
16.411818235294124,107.67395705882352,VIB,672,63,,le.vo,Thị xã Hương Thủy,,Đường Nguyễn Tất Thành,Thừa Thiên - Huế
16.467507820512822,107.60049166666667,BIDV,181,171,,,Thành phố Huế,,Dương Văn An,Thừa Thiên - Huế
16.468762962962963,107.58495148148148,TPB,997,71,,,Thành phố Huế,,Đinh Tiên Hoàng,Thừa Thiên - Huế
16.456802222222226,107.59218644444442,BIDV,592,159,,le.vo,Thành phố Huế,,Lý Thường Kiệt,Thừa Thiên - Huế
16.447511142857145,107.5847957142857,MBB,0,94,,,Thành phố Huế,,Chế Lan Viên,Thừa Thiên - Huế
16.460892666666666,107.59979266666666,TCB,23,30,,le.vo,Thành phố Huế,,Bà Triệu,Thừa Thiên - Huế
16.451773684210526,107.58366578947367,MBB,519,62,Đang suy nghi,thinh.nguyen13,Thành phố Huế,,Đường Trần Phú,Thừa Thiên - Huế
16.584195833333332,107.51390833333332,VTB,55,40,,le.vo,Huyện Quảng Điền,,Đường Nguyễn Vịnh,Thừa Thiên - Huế
16.461250714285711,107.58695,MBB,152,35,,le.vo,Thành phố Huế,,Ngô Quyền,Thừa Thiên - Huế
16.472133499999995,107.5950975,BIDV,333,53,,le.vo,Thành phố Huế,,Nguyễn Công Trứ,Thừa Thiên - Huế
16.442594347826084,107.58349260869565,TCB,532,56,,thinh.nguyen13,Thành phố Huế,,Phan Bội Châu,Thừa Thiên - Huế
16.458693333333333,107.59379055555554,TCB,122,42,,le.vo,Thành phố Huế,,Nguyễn Huệ,Thừa Thiên - Huế
16.447502857142858,107.59605428571429,MBB,160,30,Mới mua loa Mb. Không muốn mua thêm,hung.kieu,Thành phố Huế,,Duy Tân,Thừa Thiên - Huế
16.494808333333332,107.57723666666666,MBB,122,37,,,Thị xã Hương Trà,,Bao Vinh,Thừa Thiên - Huế
16.474215000000004,107.57838857142858,BIDV,405,49,,le.vo,Thành phố Huế,,Đoàn Thị Điểm,Thừa Thiên - Huế
16.457883,107.60017775000001,SACOM,737,116,,le.vo,Thành phố Huế,,Hùng Vương,Thừa Thiên - Huế
16.482889,107.59613800000001,TCB,141,42,,le.vo,Thành phố Huế,,Nguyễn Sinh Cung,Thừa Thiên - Huế
16.457987874999997,107.58186837500001,MBB,923,165,,,Thành phố Huế,,Nguyễn Huệ,Thừa Thiên - Huế
16.452649230769232,107.5998676923077,not defined or m2m,141,37,,hung.kieu,Thành phố Huế,,Ngự Bình,Thừa Thiên - Huế
16.418427000000005,107.566089,BIDV,273,45,,le.vo,Thị xã Hương Thủy,,Quốc lộ 49,Thừa Thiên - Huế
16.465469999999996,107.59154285714284,TCB,584,77,,,Thành phố Huế,,Trần Cao Vân,Thừa Thiên - Huế
16.440858888888886,107.6208611111111,BIDV,621,42,,,Thị xã Hương Thủy,,Kiệt 128 Nguyễn Tất Thành,Thừa Thiên - Huế
16.454033947368423,107.59121421052632,VIB,732,132,,thinh.nguyen13,Thành phố Huế,,Đường Trần Phú,Thừa Thiên - Huế
16.447164230769232,107.595945,TCB,559,86,Khách dùng loa tcb. Đang phân vân,hung.kieu,Thành phố Huế,,Ngự Bình,Thừa Thiên - Huế
16.465345555555558,107.59459055555556,TPB,526,82,,le.vo,Thành phố Huế,,Bến Nghé,Thừa Thiên - Huế
16.453453032786882,107.59190450819672,BIDV,35,319,,le.vo,Thành phố Huế,,Đường Trần Phú,Thừa Thiên - Huế
16.457987874999997,107.58186837500001,MBB,923,165,,le.vo,Thành phố Huế,,Nguyễn Huệ,Thừa Thiên - Huế
16.453019999999995,107.59212214285714,VTB,506,39,,le.vo,Thành phố Huế,,Duy Tân,Thừa Thiên - Huế
16.465372758620692,107.55301931034482,SACOM,124,84,,,Thành phố Huế,,Lý Nam Đế,Thừa Thiên - Huế
16.459453571428572,107.60001000000001,MBB,773,58,,tien.le8,Thành phố Huế,,Bà Triệu,Thừa Thiên - Huế
16.469045,107.59882777777777,VTB,979,46,,le.vo,Thành phố Huế,,Bà Triệu,Thừa Thiên - Huế
16.447503076923077,107.60234230769231,VIB,470,72,,le.vo,Thành phố Huế,,Hồ Đắc Di,Thừa Thiên - Huế
16.471514545454546,107.58760454545455,BIDV,923,31,,thinh.nguyen13,Thành phố Huế,,Trần Hưng Đạo,Thừa Thiên - Huế
16.444021724137933,107.59894551724138,MBB,744,76,,,Thành phố Huế,,Nguyễn Khánh Toàn,Thừa Thiên - Huế
16.468105357142857,107.59499607142858,VCB,584,73,,le.vo,Thành phố Huế,,Nguyễn Thái Học,Thừa Thiên - Huế
16.461741764705881,107.60261764705882,TCB,26,30,,le.vo,Thành phố Huế,,Nguyễn Hữu Thọ,Thừa Thiên - Huế
16.458298392857142,107.58071642857142,VCB,239,177,,,Thành phố Huế,,Nguyễn Huệ,Thừa Thiên - Huế
16.441455833333332,107.61087916666666,AGRIBANK,CA5,47,,le.vo,Thị xã Hương Thủy,,Đường Nguyễn Hữu Cảnh,Thừa Thiên - Huế
16.168029333333333,107.71896533333333,not defined or m2m,193,49,,le.vo,Huyện Nam Đông,,Đường Tả Trạc,Thừa Thiên - Huế
16.45462777777778,107.58347407407408,TCB,456,73,,le.vo,Thành phố Huế,,Phan Chu Trinh,Thừa Thiên - Huế
16.466529444444443,107.57349777777777,TCB,825,111,,le.vo,Thành phố Huế,,Nguyễn Trãi,Thừa Thiên - Huế
16.462593076923078,107.58754923076924,VCB,753,38,,,Thành phố Huế,,Hai Bà Trưng,Thừa Thiên - Huế
16.466207333333333,107.59235533333334,BIDV,661,42,,le.vo,Thành phố Huế,,Trần Cao Vân,Thừa Thiên - Huế
