lat,lng,bank,tail3,trans,note,pic,district,ward,street,province
10.249153999999999,105.972698,MBB,694,20,,,Thành phố Vĩnh Long,,2 Tháng 9,Vĩnh Long
10.067219999999999,105.81447666666666,SACOM,992,12,,,Thị xã Bình Minh,,3 Tháng 2,Vĩnh Long
10.096311428571429,106.18909428571429,ACB,77,10,,,Huyện Vũng Liêm,,Nguyễn Thị Hồng,Vĩnh Long
10.26642375,105.89792750000001,VTB,F11,28,,,Thành phố Vĩnh Long,,Mỹ Thuận,Vĩnh Long
10.24207,105.97977333333334,ACB,567,11,,,Thành phố Vĩnh Long,,Phạm Thái Bường,Vĩnh Long
10.068845,105.820555,SACOM,338,14,,,Thị xã Bình Minh,,Ngô Quyền,Vĩnh Long
10.096219999999999,106.17888500000001,VTB,258,15,,,Huyện Vũng Liêm,,Nguyễn Thị Hồng,Vĩnh Long
10.25785142857143,105.97120999999999,TCB,889,24,,,Thành phố Vĩnh Long,,Tô Thị Huỳnh,Vĩnh Long
10.250773333333333,105.97459666666667,TCB,133,23,,,Thành phố Vĩnh Long,,2 Tháng 9,Vĩnh Long
10.06568,105.81935,AGRIBANK,33,10,,,Thị xã Bình Minh,,Phan Văn Năm,Vĩnh Long
10.239188,105.965924,BIDV,8V1,17,,,Thành phố Vĩnh Long,,Hẻm 58 Mậu Thân,Vĩnh Long
10.243086666666667,105.97503,MBB,552,19,,,Thành phố Vĩnh Long,,Nguyễn Văn Thiệt,Vĩnh Long
10.057257499999999,105.99427625,BIDV,902,24,,,Huyện Tam Bình,,Võ Tuấn Đức,Vĩnh Long
10.2456625,105.97978375,MBB,428,26,,,Thành phố Vĩnh Long,,Trần Đại Nghĩa,Vĩnh Long
10.25563,105.97265666666667,SHB,2G1,16,,,Thành phố Vĩnh Long,,Đoàn Thị Điểm,Vĩnh Long
10.236453999999998,105.962874,BIDV,530,24,,,Thành phố Vĩnh Long,,Đường Phó Cơ Điều,Vĩnh Long
10.0384975,106.2023575,KLB,322,20,,,Huyện Vũng Liêm,,Quốc lộ 53,Vĩnh Long
10.2498,105.97352,TCB,900,14,,,Thành phố Vĩnh Long,,2 Tháng 9,Vĩnh Long
10.254948,105.966648,TCB,115,18,,,Thành phố Vĩnh Long,,Lưu Văn Liệt,Vĩnh Long
10.247344285714284,105.9677,MBB,300,21,,,Thành phố Vĩnh Long,,Võ Văn Kiệt,Vĩnh Long
10.251582,105.962102,VPB,19,21,,,Thành phố Vĩnh Long,,Đường Nguyễn Huệ,Vĩnh Long
10.23358,105.98886,VCB,635,12,,,Thành phố Vĩnh Long,,Đường Trần Phú,Vĩnh Long
10.236866666666668,105.96205833333333,BIDV,34,14,,,Thành phố Vĩnh Long,,Cầu Vồng,Vĩnh Long
10.2113,105.99664,MBB,646,10,,,Huyện Long Hồ,,Quốc lộ 53,Vĩnh Long
10.25495,105.97293,TCB,888,14,,,Thành phố Vĩnh Long,,Hoàng Thái Hiếu,Vĩnh Long
10.229659999999999,105.98850857142857,MBB,849,15,,,Thành phố Vĩnh Long,,Quốc lộ 53,Vĩnh Long
10.25406875,105.96801375000001,TCB,989,20,,,Thành phố Vĩnh Long,,Lý Tự Trọng,Vĩnh Long
10.242140000000001,105.95781,TCB,775,23,,,Thành phố Vĩnh Long,,Đường Nguyễn Huệ,Vĩnh Long
10.229903333333333,105.9521,VTB,655,16,,,Thành phố Vĩnh Long,,Nguyễn Văn Lâu,Vĩnh Long
10.233495,105.9886775,VTB,71,25,,,Thành phố Vĩnh Long,,Đường Trần Phú,Vĩnh Long
10.134637142857143,105.72036571428572,TPB,688,13,,,Huyện Bình Tân,,Quốc lộ 54,Vĩnh Long
10.242758,105.97442,MBB,814,28,,,Thành phố Vĩnh Long,,Nguyễn Văn Thiệt,Vĩnh Long
10.247946249999998,105.96432625000001,HDB,188,25,,,Thành phố Vĩnh Long,,Cầu Lộ 2,Vĩnh Long
10.069456666666667,105.81600999999999,MBB,540,20,,,Thị xã Bình Minh,,Nguyễn Văn Thảnh,Vĩnh Long
10.251433333333333,105.96190333333334,VCB,636,19,,,Thành phố Vĩnh Long,,Đường Nguyễn Huệ,Vĩnh Long
10.242522,105.97027600000001,VCB,679,10,,,Thành phố Vĩnh Long,,Mậu Thân,Vĩnh Long
10.25219,105.97230166666667,VCB,1,15,,,Thành phố Vĩnh Long,,Trưng Nữ Vương,Vĩnh Long
10.247446666666667,105.96746833333333,TCB,181,12,,,Thành phố Vĩnh Long,,Võ Văn Kiệt,Vĩnh Long
10.240254000000002,105.981092,BIDV,248,16,,,Thành phố Vĩnh Long,,Phạm Thái Bường,Vĩnh Long
10.041245,105.836285,SACOM,300,10,,,Thị xã Bình Minh,,Quốc lộ 54,Vĩnh Long
10.250535000000001,105.958575,TCB,744,16,,,Thành phố Vĩnh Long,,Võ Văn Kiệt,Vĩnh Long
10.247332857142856,105.96012285714285,OCB,219,28,,,Thành phố Vĩnh Long,,Đường Nguyễn Huệ,Vĩnh Long
10.166154444444443,105.92798222222223,VTB,938,29,,,Huyện Long Hồ,,Quốc lộ 1,Vĩnh Long
